name,variant,category,x,y
Open Sans Condensed 700,700,sans-serif,-14.898337,9.1078825
Lora regular,regular,serif,-4.7243447,13.427218
Lora italic,italic,serif,-8.440286,9.55094
Lora 700,700,serif,-3.7650218,9.293501
Lora 700italic,700italic,serif,-9.057784,8.492566
Droid Sans regular,regular,sans-serif,-13.30952,15.041389
Droid Sans 700,700,sans-serif,-15.352655,11.278556
Ubuntu 300,300,sans-serif,-11.096648,16.436966
Ubuntu 300italic,300italic,sans-serif,-10.229583,10.3663
Ubuntu regular,regular,sans-serif,-13.908626,13.849152
Ubuntu italic,italic,sans-serif,-11.313098,8.000844
Ubuntu 500,500,sans-serif,-14.50564,12.059713
Ubuntu 500italic,500italic,sans-serif,-11.888852,7.517461
Ubuntu 700,700,sans-serif,-14.865247,11.398969
Ubuntu 700italic,700italic,sans-serif,-11.995954,6.726792
Droid Serif regular,regular,serif,-4.827208,12.070018
Droid Serif italic,italic,serif,-9.197199,8.439948
Droid Serif 700,700,serif,-4.562714,9.8279505
Droid Serif 700italic,700italic,serif,-9.670732,8.218666
Playfair Display regular,regular,serif,-3.8373065,12.752252
Playfair Display italic,italic,serif,-8.470424,7.872349
Playfair Display 700,700,serif,-3.2433362,9.895979
Playfair Display 700italic,700italic,serif,-9.478779,8.206122
Playfair Display 900,900,serif,-3.600529,9.814425
Playfair Display 900italic,900italic,serif,-9.977613,7.7492347
Noto Sans regular,regular,sans-serif,-12.590512,15.957973
Noto Sans italic,italic,sans-serif,-11.5067425,8.52925
Noto Sans 700,700,sans-serif,-15.538508,11.85824
Noto Sans 700italic,700italic,sans-serif,-12.474568,6.61354
PT Serif regular,regular,serif,-3.8853052,12.793562
PT Serif italic,italic,serif,-9.118723,7.441338
PT Serif 700,700,serif,-4.2135825,9.548569
PT Serif 700italic,700italic,serif,-9.920929,7.402953
Arimo regular,regular,sans-serif,-12.9717455,15.309181
Arimo italic,italic,sans-serif,-11.416186,9.550811
Arimo 700,700,sans-serif,-15.33278,12.690126
Arimo 700italic,700italic,sans-serif,-11.474408,6.8229456
Titillium Web 200,200,sans-serif,-9.474104,16.624613
Titillium Web 200italic,200italic,sans-serif,-8.944066,13.502466
Titillium Web 300,300,sans-serif,-11.989192,16.049381
Titillium Web 300italic,300italic,sans-serif,-10.574655,9.613248
Titillium Web regular,regular,sans-serif,-12.788234,15.391413
Titillium Web italic,italic,sans-serif,-11.134739,8.756645
Titillium Web 600,600,sans-serif,-14.648585,11.332086
Titillium Web 600italic,600italic,sans-serif,-12.261575,7.2669034
Titillium Web 700,700,sans-serif,-15.065173,10.287181
Titillium Web 700italic,700italic,sans-serif,-12.879324,6.9583473
Titillium Web 900,900,sans-serif,-17.57015,10.16385
PT Sans Narrow regular,regular,sans-serif,-13.4838085,11.552426
PT Sans Narrow 700,700,sans-serif,-14.605564,8.871784
Muli 200,200,sans-serif,-9.311422,15.521393
Muli 200italic,200italic,sans-serif,-9.2790575,15.238536
Muli 300,300,sans-serif,-10.014342,15.370626
Muli 300italic,300italic,sans-serif,-10.298084,14.620882
Muli regular,regular,sans-serif,-11.546019,15.561475
Muli italic,italic,sans-serif,-11.561557,14.007334
Muli 600,600,sans-serif,-12.958397,14.645143
Muli 600italic,600italic,sans-serif,-12.279527,12.99264
Muli 700,700,sans-serif,-14.836463,13.892873
Muli 700italic,700italic,sans-serif,-13.68633,11.705676
Muli 800,800,sans-serif,-16.312408,12.420174
Muli 800italic,800italic,sans-serif,-15.146066,10.385612
Muli 900,900,sans-serif,-16.75064,11.59908
Muli 900italic,900italic,sans-serif,-16.112514,10.036209
Poppins 300,300,sans-serif,-10.369753,15.472802
Poppins regular,regular,sans-serif,-11.5261755,14.971467
Poppins 500,500,sans-serif,-13.048128,13.889717
Poppins 600,600,sans-serif,-15.825282,13.028561
Poppins 700,700,sans-serif,-16.52098,12.347188
Indie Flower regular,regular,handwriting,-9.917743,13.441171
Bitter regular,regular,serif,-5.1250978,11.360463
Bitter italic,italic,serif,-9.739696,7.9542646
Bitter 700,700,serif,-4.079327,8.776821
Dosis 200,200,sans-serif,-9.588373,16.409788
Dosis 300,300,sans-serif,-10.567426,15.811374
Dosis regular,regular,sans-serif,-11.8556595,14.480853
Dosis 500,500,sans-serif,-12.797149,12.914986
Dosis 600,600,sans-serif,-12.92079,11.936356
Dosis 700,700,sans-serif,-12.648103,11.261526
Dosis 800,800,sans-serif,-13.15631,11.361092
Inconsolata regular,regular,monospace,-14.658833,15.844011
Inconsolata 700,700,monospace,-16.046675,13.410718
Fjalla One regular,regular,sans-serif,-15.002561,8.185833
Hind 300,300,sans-serif,-11.40146,16.792927
Hind regular,regular,sans-serif,-13.164112,16.30393
Hind 500,500,sans-serif,-14.808867,14.23022
Hind 600,600,sans-serif,-16.247438,12.074262
Hind 700,700,sans-serif,-16.436928,11.1480465
Oxygen 300,300,sans-serif,-10.857159,17.012917
Oxygen regular,regular,sans-serif,-13.634936,16.218847
Oxygen 700,700,sans-serif,-15.201571,12.950914
Anton regular,regular,sans-serif,-15.574657,8.431503
Noto Serif regular,regular,serif,-4.9189982,12.0975
Noto Serif italic,italic,serif,-9.222945,8.409671
Noto Serif 700,700,serif,-4.771744,9.38042
Noto Serif 700italic,700italic,serif,-9.501263,8.531114
Cabin regular,regular,sans-serif,-14.300146,14.648673
Cabin italic,italic,sans-serif,-12.033358,8.234177
Cabin 500,500,sans-serif,-14.445969,13.568444
Cabin 500italic,500italic,sans-serif,-12.19928,8.217318
Cabin 600,600,sans-serif,-14.995321,12.950442
Cabin 600italic,600italic,sans-serif,-12.410193,7.5498323
Cabin 700,700,sans-serif,-15.016462,11.223023
Cabin 700italic,700italic,sans-serif,-12.424103,7.5397143
Arvo regular,regular,serif,-5.063173,12.807497
Arvo italic,italic,serif,-8.969396,7.9376516
Arvo 700,700,serif,-6.0352197,9.425578
Arvo 700italic,700italic,serif,-11.442563,6.5119843
Libre Baskerville regular,regular,serif,-4.7002063,12.423824
Libre Baskerville italic,italic,serif,-8.684271,8.166373
Libre Baskerville 700,700,serif,-4.6948752,10.401619
Nunito 200,200,sans-serif,-9.18248,16.148483
Nunito 200italic,200italic,sans-serif,-9.141372,14.949223
Nunito 300,300,sans-serif,-10.5154915,15.38895
Nunito 300italic,300italic,sans-serif,-10.381285,14.436008
Nunito regular,regular,sans-serif,-11.472533,14.49554
Nunito italic,italic,sans-serif,-10.68877,13.233872
Nunito 600,600,sans-serif,-11.246044,12.935161
Nunito 600italic,600italic,sans-serif,-11.170236,12.362755
Nunito 700,700,sans-serif,-11.799421,12.01667
Nunito 700italic,700italic,sans-serif,-11.331328,11.661462
Nunito 800,800,sans-serif,-11.95525,11.354528
Nunito 800italic,800italic,sans-serif,-11.642827,11.480827
Nunito 900,900,sans-serif,-12.319359,11.5387535
Nunito 900italic,900italic,sans-serif,-11.603137,10.96171
Lobster regular,regular,display,-12.394139,8.677903
Crimson Text regular,regular,serif,-2.299695,13.064424
Crimson Text italic,italic,serif,-8.29488,7.8560123
Crimson Text 600,600,serif,-3.7432308,11.002412
Crimson Text 600italic,600italic,serif,-8.9098,8.026365
Crimson Text 700,700,serif,-4.8774037,9.867968
Crimson Text 700italic,700italic,serif,-9.191799,7.7717648
Yanone Kaffeesatz 200,200,sans-serif,-9.263166,16.124203
Yanone Kaffeesatz 300,300,sans-serif,-11.250443,14.548674
Yanone Kaffeesatz regular,regular,sans-serif,-13.09283,10.707518
Yanone Kaffeesatz 700,700,sans-serif,-13.119253,10.565291
Roboto Mono 100,100,monospace,-9.770457,16.345123
Roboto Mono 100italic,100italic,monospace,-9.445593,14.982603
Roboto Mono 300,300,monospace,-13.4879265,16.071863
Roboto Mono 300italic,300italic,monospace,-11.214639,13.952109
Roboto Mono regular,regular,monospace,-15.346707,15.518077
Roboto Mono italic,italic,monospace,-12.129156,10.042739
Roboto Mono 500,500,monospace,-16.080206,14.283874
Roboto Mono 500italic,500italic,monospace,-12.227652,8.548503
Roboto Mono 700,700,monospace,-16.318811,13.459032
Roboto Mono 700italic,700italic,monospace,-12.59045,8.196139
Josefin Sans 100,100,sans-serif,-7.9265275,16.571365
Josefin Sans 100italic,100italic,sans-serif,-8.386835,15.522938
Josefin Sans 300,300,sans-serif,-8.931058,16.330935
Josefin Sans 300italic,300italic,sans-serif,-9.174179,14.525989
Josefin Sans regular,regular,sans-serif,-10.487253,15.594177
Josefin Sans italic,italic,sans-serif,-10.549945,13.306102
Josefin Sans 600,600,sans-serif,-13.467243,14.467611
Josefin Sans 600italic,600italic,sans-serif,-11.867486,8.879585
Josefin Sans 700,700,sans-serif,-14.501133,13.771105
Josefin Sans 700italic,700italic,sans-serif,-11.829095,7.803453
Bree Serif regular,regular,serif,-4.1360974,9.5961275
Catamaran 100,100,sans-serif,-10.233505,16.71457
Catamaran 200,200,sans-serif,-10.664648,16.209211
Catamaran 300,300,sans-serif,-11.252336,16.462234
Catamaran regular,regular,sans-serif,-13.502277,15.72475
Catamaran 500,500,sans-serif,-13.64842,14.042678
Catamaran 600,600,sans-serif,-14.631294,12.416504
Catamaran 700,700,sans-serif,-15.091587,11.298094
Catamaran 800,800,sans-serif,-15.934535,10.9326
Catamaran 900,900,sans-serif,-16.82491,11.1617565
Merriweather Sans 300,300,sans-serif,-12.323612,16.390265
Merriweather Sans 300italic,300italic,sans-serif,-10.4465,9.709456
Merriweather Sans regular,regular,sans-serif,-14.094913,14.131528
Merriweather Sans italic,italic,sans-serif,-11.371801,8.4169445
Merriweather Sans 700,700,sans-serif,-15.4233,11.337689
Merriweather Sans 700italic,700italic,sans-serif,-12.124922,7.62403
Merriweather Sans 800,800,sans-serif,-15.952134,10.496792
Merriweather Sans 800italic,800italic,sans-serif,-12.213458,7.0014133
Fira Sans 100,100,sans-serif,-8.0984125,16.823153
Fira Sans 100italic,100italic,sans-serif,-8.613332,15.162286
Fira Sans 200,200,sans-serif,-9.943879,16.848719
Fira Sans 200italic,200italic,sans-serif,-9.254547,13.744984
Fira Sans 300,300,sans-serif,-10.909357,16.478537
Fira Sans 300italic,300italic,sans-serif,-9.853399,12.9093075
Fira Sans regular,regular,sans-serif,-13.669805,14.442144
Fira Sans italic,italic,sans-serif,-10.996515,8.753509
Fira Sans 500,500,sans-serif,-15.294547,10.742041
Fira Sans 500italic,500italic,sans-serif,-12.542708,7.3655124
Fira Sans 600,600,sans-serif,-15.119328,10.1195965
Fira Sans 600italic,600italic,sans-serif,-12.946121,7.1325507
Fira Sans 700,700,sans-serif,-15.548877,9.636685
Fira Sans 700italic,700italic,sans-serif,-13.121407,7.053505
Fira Sans 800,800,sans-serif,-15.933027,9.4749975
Fira Sans 800italic,800italic,sans-serif,-13.508321,6.6431746
Fira Sans 900,900,sans-serif,-16.321337,9.270165
Fira Sans 900italic,900italic,sans-serif,-13.649869,6.58478
Abril Fatface regular,regular,display,-3.8628268,9.99729
Exo 2 100,100,sans-serif,-8.491693,16.581146
Exo 2 100italic,100italic,sans-serif,-8.761056,14.911277
Exo 2 200,200,sans-serif,-9.158503,16.449068
Exo 2 200italic,200italic,sans-serif,-9.3544035,13.815859
Exo 2 300,300,sans-serif,-11.108004,15.371089
Exo 2 300italic,300italic,sans-serif,-10.2525625,12.2002945
Exo 2 regular,regular,sans-serif,-12.321922,14.367749
Exo 2 italic,italic,sans-serif,-11.0698,10.213968
Exo 2 500,500,sans-serif,-13.343314,13.699079
Exo 2 500italic,500italic,sans-serif,-10.684878,9.091641
Exo 2 600,600,sans-serif,-14.400944,12.118787
Exo 2 600italic,600italic,sans-serif,-11.142676,7.9124646
Exo 2 700,700,sans-serif,-15.4013815,11.0502825
Exo 2 700italic,700italic,sans-serif,-11.514619,7.3276687
Exo 2 800,800,sans-serif,-16.07954,10.121751
Exo 2 800italic,800italic,sans-serif,-12.176188,6.8773413
Exo 2 900,900,sans-serif,-16.833002,9.991791
Exo 2 900italic,900italic,sans-serif,-13.090947,6.9955916
Asap regular,regular,sans-serif,-12.718579,14.727257
Asap italic,italic,sans-serif,-11.139231,9.427965
Asap 500,500,sans-serif,-14.012898,10.776624
Asap 500italic,500italic,sans-serif,-12.127647,8.428318
Asap 700,700,sans-serif,-14.078937,10.466173
Asap 700italic,700italic,sans-serif,-12.008187,8.351053
Varela Round regular,regular,sans-serif,-11.391664,13.827942
Abel regular,regular,sans-serif,-11.983564,15.345708
Quicksand 300,300,sans-serif,-9.526587,16.067028
Quicksand regular,regular,sans-serif,-9.924088,14.952349
Quicksand 500,500,sans-serif,-11.236127,13.392179
Quicksand 700,700,sans-serif,-12.141496,12.633853
Gloria Hallelujah regular,regular,handwriting,-10.367264,11.838177
Pacifico regular,regular,handwriting,-9.921374,10.274059
Rubik 300,300,sans-serif,-10.441959,15.259127
Rubik 300italic,300italic,sans-serif,-10.170417,12.705732
Rubik regular,regular,sans-serif,-12.375025,14.689865
Rubik italic,italic,sans-serif,-10.815561,10.112124
Rubik 500,500,sans-serif,-15.2181635,13.039945
Rubik 500italic,500italic,sans-serif,-10.800491,7.011444
Rubik 700,700,sans-serif,-15.826093,12.316858
Rubik 700italic,700italic,sans-serif,-11.464213,6.098562
Rubik 900,900,sans-serif,-17.13715,11.668972
Rubik 900italic,900italic,sans-serif,-12.527985,5.6992683
Karla regular,regular,sans-serif,-11.358828,14.805767
Karla italic,italic,sans-serif,-12.142353,13.464634
Karla 700,700,sans-serif,-15.00736,13.465041
Karla 700italic,700italic,sans-serif,-13.049987,8.501977
Ubuntu Condensed regular,regular,sans-serif,-14.063788,9.180475
Work Sans 100,100,sans-serif,-8.047526,16.876495
Work Sans 200,200,sans-serif,-8.3695755,16.827118
Work Sans 300,300,sans-serif,-10.058506,15.806681
Work Sans regular,regular,sans-serif,-11.566645,15.278606
Work Sans 500,500,sans-serif,-13.104579,14.08251
Work Sans 600,600,sans-serif,-15.516804,12.704268
Work Sans 700,700,sans-serif,-16.405525,11.627654
Work Sans 800,800,sans-serif,-17.23387,11.011523
Work Sans 900,900,sans-serif,-17.447609,10.861533
Cuprum regular,regular,sans-serif,-14.130584,10.155265
Cuprum italic,italic,sans-serif,-12.784916,7.913711
Cuprum 700,700,sans-serif,-14.835171,9.730298
Cuprum 700italic,700italic,sans-serif,-12.99737,7.4021564
Signika 300,300,sans-serif,-12.317735,15.025596
Signika regular,regular,sans-serif,-13.35905,12.342458
Signika 600,600,sans-serif,-13.713062,10.892378
Signika 700,700,sans-serif,-14.248185,10.6397085
Archivo Narrow regular,regular,sans-serif,-13.747951,11.645272
Archivo Narrow italic,italic,sans-serif,-12.792578,8.193138
Archivo Narrow 700,700,sans-serif,-15.056539,9.599103
Archivo Narrow 700italic,700italic,sans-serif,-13.280061,7.2724323
Play regular,regular,sans-serif,-13.106087,14.230381
Play 700,700,sans-serif,-15.442775,12.208964
Questrial regular,regular,sans-serif,-10.841232,15.256089
Shadows Into Light regular,regular,handwriting,-11.066283,11.669701
Dancing Script regular,regular,handwriting,-8.912947,10.639035
Dancing Script 700,700,handwriting,-9.352793,10.619595
PT Sans Caption regular,regular,sans-serif,-13.136692,15.167388
PT Sans Caption 700,700,sans-serif,-15.38343,12.392814
Alegreya regular,regular,serif,-4.4334307,12.099221
