name,variant,category,x,y,cluster_in_cat,cluster_key
Raleway 300italic,300italic,sans-serif,1.2672931,9.7734375,1,sans-serif-1
Raleway regular,regular,sans-serif,-1.4107046,10.673318,1,sans-serif-1
Raleway italic,italic,sans-serif,1.5676547,9.573846,1,sans-serif-1
Raleway 500,500,sans-serif,-2.7445436,10.670703,1,sans-serif-1
Raleway 500italic,500italic,sans-serif,2.091337,9.166772,2,sans-serif-2
Raleway 600,600,sans-serif,-3.3355427,10.529437,1,sans-serif-1
Raleway 600italic,600italic,sans-serif,2.7830718,8.889688,2,sans-serif-2
Raleway 700,700,sans-serif,-5.0659456,8.082516,0,sans-serif-0
Raleway 700italic,700italic,sans-serif,3.1739748,8.661121,2,sans-serif-2
Raleway 800,800,sans-serif,-5.167785,7.5180635,0,sans-serif-0
Raleway 800italic,800italic,sans-serif,3.4687185,8.49466,2,sans-serif-2
Raleway 900,900,sans-serif,-5.1020136,7.250937,0,sans-serif-0
Raleway 900italic,900italic,sans-serif,3.5515316,8.351037,2,sans-serif-2
PT Sans regular,regular,sans-serif,-3.864988,10.122617,1,sans-serif-1
PT Sans italic,italic,sans-serif,2.6666727,9.679726,2,sans-serif-2
PT Sans 700,700,sans-serif,-3.9680634,7.6053877,0,sans-serif-0
PT Sans 700italic,700italic,sans-serif,3.8634586,9.912738,2,sans-serif-2
Merriweather 300,300,serif,-2.1060746,-0.64863694,0,serif-0
Merriweather 300italic,300italic,serif,-0.2616102,3.6917434,1,serif-1
Merriweather regular,regular,serif,-3.0237687,-0.36802936,2,serif-2
Merriweather italic,italic,serif,-0.15745972,3.918543,1,serif-1
Merriweather 700,700,serif,-4.4728937,0.22794513,2,serif-2
Merriweather 700italic,700italic,serif,-0.08076331,4.078401,1,serif-1
Merriweather 900,900,serif,-4.6230173,0.35326552,2,serif-2
Merriweather 900italic,900italic,serif,-0.110622615,4.0839834,1,serif-1
Roboto Slab 100,100,serif,-1.4084169,-0.82932514,0,serif-0
Roboto Slab 300,300,serif,-1.6600996,-0.22888543,0,serif-0
Roboto Slab regular,regular,serif,-3.224189,-0.0022105263,0,serif-0
Roboto Slab 700,700,serif,-4.6020756,0.44174656,2,serif-2
Open Sans Condensed 300,300,sans-serif,-1.81924,9.991515,1,sans-serif-1
Open Sans Condensed 300italic,300italic,sans-serif,0.40989816,8.347568,2,sans-serif-2
Open Sans Condensed 700,700,sans-serif,-2.9304645,7.0881257,0,sans-serif-0
Lora regular,regular,serif,-2.442173,-0.8432307,0,serif-0
Lora italic,italic,serif,-0.2651684,3.6180818,1,serif-1
Lora 700,700,serif,-4.5126534,0.14482552,2,serif-2
Lora 700italic,700italic,serif,-0.22812377,3.964592,1,serif-1
Droid Sans regular,regular,sans-serif,-2.997059,9.5379505,1,sans-serif-1
Droid Sans 700,700,sans-serif,-3.6576173,8.104385,0,sans-serif-0
Ubuntu 300,300,sans-serif,-2.3251352,11.1442175,1,sans-serif-1
Ubuntu 300italic,300italic,sans-serif,2.1834083,9.626251,2,sans-serif-2
Ubuntu regular,regular,sans-serif,-4.118729,9.913567,0,sans-serif-0
Ubuntu italic,italic,sans-serif,3.1111405,9.523401,2,sans-serif-2
Ubuntu 500,500,sans-serif,-4.463819,8.415318,0,sans-serif-0
Ubuntu 500italic,500italic,sans-serif,3.5301592,9.565968,2,sans-serif-2
Ubuntu 700,700,sans-serif,-4.395239,8.139621,0,sans-serif-0
Ubuntu 700italic,700italic,sans-serif,3.6825147,9.510992,2,sans-serif-2
Droid Serif regular,regular,serif,-2.8941586,-0.2310179,0,serif-0
Droid Serif italic,italic,serif,-0.24665353,3.755263,1,serif-1
Droid Serif 700,700,serif,-4.287773,0.13018316,2,serif-2
Droid Serif 700italic,700italic,serif,-0.44002575,3.8920429,1,serif-1
Playfair Display regular,regular,serif,-2.7822285,-1.0955435,0,serif-0
Playfair Display italic,italic,serif,0.4834883,3.4584932,1,serif-1
Playfair Display 700,700,serif,-4.5075607,-0.3395166,2,serif-2
Playfair Display 700italic,700italic,serif,0.4660493,3.6160326,1,serif-1
Playfair Display 900,900,serif,-4.523438,-0.30763537,2,serif-2
Playfair Display 900italic,900italic,serif,0.5083794,3.6100261,1,serif-1
Noto Sans regular,regular,sans-serif,-3.540804,10.638995,1,sans-serif-1
Noto Sans italic,italic,sans-serif,2.5885026,9.446386,2,sans-serif-2
Noto Sans 700,700,sans-serif,-4.4691052,7.9564943,0,sans-serif-0
Noto Sans 700italic,700italic,sans-serif,3.682123,9.616264,2,sans-serif-2
PT Serif regular,regular,serif,-2.879068,-0.98641783,0,serif-0
PT Serif italic,italic,serif,-0.03145027,3.8229017,1,serif-1
PT Serif 700,700,serif,-4.2697973,-0.0341897,2,serif-2
PT Serif 700italic,700italic,serif,-0.0044441195,4.0350714,1,serif-1
Arimo regular,regular,sans-serif,-3.7174819,10.564661,1,sans-serif-1
Arimo italic,italic,sans-serif,2.1969314,9.143436,2,sans-serif-2
Arimo 700,700,sans-serif,-4.7501836,8.0189,0,sans-serif-0
Arimo 700italic,700italic,sans-serif,3.1340737,8.520311,2,sans-serif-2
Titillium Web 200,200,sans-serif,-0.99035686,11.590747,1,sans-serif-1
Titillium Web 200italic,200italic,sans-serif,1.5492376,10.088022,1,sans-serif-1
Titillium Web 300,300,sans-serif,-2.5511315,9.992028,1,sans-serif-1
Titillium Web 300italic,300italic,sans-serif,2.4712641,9.73076,2,sans-serif-2
Titillium Web regular,regular,sans-serif,-2.8441374,9.835769,1,sans-serif-1
Titillium Web italic,italic,sans-serif,2.7169924,9.735862,2,sans-serif-2
Titillium Web 600,600,sans-serif,-3.573752,8.043405,0,sans-serif-0
Titillium Web 600italic,600italic,sans-serif,3.5063996,9.714495,2,sans-serif-2
Titillium Web 700,700,sans-serif,-3.5855455,7.731884,0,sans-serif-0
Titillium Web 700italic,700italic,sans-serif,3.6747987,9.686996,2,sans-serif-2
Titillium Web 900,900,sans-serif,-5.135818,6.535774,0,sans-serif-0
PT Sans Narrow regular,regular,sans-serif,-2.5545492,7.672649,0,sans-serif-0
PT Sans Narrow 700,700,sans-serif,-2.817653,6.860249,0,sans-serif-0
Muli 200,200,sans-serif,-0.9226031,10.873228,1,sans-serif-1
Muli 200italic,200italic,sans-serif,-0.6923777,10.749642,1,sans-serif-1
Muli 300,300,sans-serif,-1.2295012,10.619632,1,sans-serif-1
Muli 300italic,300italic,sans-serif,-0.9577568,10.391944,1,sans-serif-1
Muli regular,regular,sans-serif,-2.9548519,10.68161,1,sans-serif-1
Muli italic,italic,sans-serif,-1.3024218,9.761852,1,sans-serif-1
Muli 600,600,sans-serif,-3.5552485,10.661969,1,sans-serif-1
Muli 600italic,600italic,sans-serif,-1.441885,9.667631,1,sans-serif-1
Muli 700,700,sans-serif,-5.034283,8.264805,0,sans-serif-0
Muli 700italic,700italic,sans-serif,-5.2660737,8.014602,0,sans-serif-0
Muli 800,800,sans-serif,-5.170129,7.6710944,0,sans-serif-0
Muli 800italic,800italic,sans-serif,-5.313368,7.833929,0,sans-serif-0
Muli 900,900,sans-serif,-5.1122923,7.352124,0,sans-serif-0
Muli 900italic,900italic,sans-serif,-5.3015633,7.6961565,0,sans-serif-0
Poppins 300,300,sans-serif,-2.0533538,10.625449,1,sans-serif-1
Poppins regular,regular,sans-serif,-2.699748,10.628767,1,sans-serif-1
Poppins 500,500,sans-serif,-3.0308201,10.501502,1,sans-serif-1
Poppins 600,600,sans-serif,-5.246085,7.7167115,0,sans-serif-0
Poppins 700,700,sans-serif,-5.316331,7.424403,0,sans-serif-0
Indie Flower regular,regular,handwriting,-0.15343778,8.743013,0,handwriting-0
Bitter regular,regular,serif,-3.2682056,0.05069198,2,serif-2
Bitter italic,italic,serif,-0.27579442,3.9306266,1,serif-1
Bitter 700,700,serif,-4.6412215,0.38156995,2,serif-2
Dosis 200,200,sans-serif,-1.2703964,11.280492,1,sans-serif-1
Dosis 300,300,sans-serif,-1.4952434,11.017375,1,sans-serif-1
Dosis regular,regular,sans-serif,-2.1595166,9.484353,1,sans-serif-1
Dosis 500,500,sans-serif,-2.0436592,8.555967,0,sans-serif-0
Dosis 600,600,sans-serif,-2.045157,8.347473,0,sans-serif-0
Dosis 700,700,sans-serif,-1.9886106,8.229688,0,sans-serif-0
Dosis 800,800,sans-serif,-1.96752,8.130873,0,sans-serif-0
Inconsolata regular,regular,monospace,5.890016,7.901398,1,monospace-1
Inconsolata 700,700,monospace,6.269064,8.140266,0,monospace-0
Fjalla One regular,regular,sans-serif,-2.7684216,6.701865,0,sans-serif-0
Hind 300,300,sans-serif,-2.4469492,11.450212,1,sans-serif-1
Hind regular,regular,sans-serif,-4.1676006,10.943097,1,sans-serif-1
Hind 500,500,sans-serif,-5.3396144,9.483681,0,sans-serif-0
Hind 600,600,sans-serif,-7.5217977,9.576948,0,sans-serif-0
Hind 700,700,sans-serif,9.270837,11.203338,0,sans-serif-0
Oxygen 300,300,sans-serif,-2.4012496,11.37194,1,sans-serif-1
Oxygen regular,regular,sans-serif,-4.2202196,10.998028,1,sans-serif-1
Oxygen 700,700,sans-serif,-4.6512456,8.432233,0,sans-serif-0
Anton regular,regular,sans-serif,-2.8431253,6.6895003,0,sans-serif-0
Noto Serif regular,regular,serif,-2.9088428,-0.31865045,0,serif-0
Noto Serif italic,italic,serif,-0.2892552,3.741389,1,serif-1
Noto Serif 700,700,serif,-4.327934,0.045373213,2,serif-2
Noto Serif 700italic,700italic,serif,-0.4532104,3.861682,1,serif-1
Cabin regular,regular,sans-serif,-2.9993103,9.049241,1,sans-serif-1
Cabin italic,italic,sans-serif,2.9224494,9.812401,2,sans-serif-2
Cabin 500,500,sans-serif,-3.091052,8.859083,0,sans-serif-0
Cabin 500italic,500italic,sans-serif,3.1075454,9.815412,2,sans-serif-2
Cabin 600,600,sans-serif,-3.2174432,8.615498,0,sans-serif-0
Cabin 600italic,600italic,sans-serif,3.3074858,9.8089485,2,sans-serif-2
Cabin 700,700,sans-serif,-3.2541435,8.127562,0,sans-serif-0
Cabin 700italic,700italic,sans-serif,3.3842044,9.753283,2,sans-serif-2
Arvo regular,regular,serif,-2.6350796,-0.17959076,0,serif-0
Arvo italic,italic,serif,-0.28785396,3.858687,1,serif-1
Arvo 700,700,serif,-3.6023567,1.1169009,2,serif-2
Arvo 700italic,700italic,serif,3.8443646,8.995659,1,serif-1
Libre Baskerville regular,regular,serif,-2.8791814,-0.38557243,0,serif-0
Libre Baskerville italic,italic,serif,0.50298834,3.5045364,1,serif-1
Libre Baskerville 700,700,serif,-3.714878,0.16712956,2,serif-2
Nunito 200,200,sans-serif,-0.7515371,10.985773,1,sans-serif-1
Nunito 200italic,200italic,sans-serif,-0.6566993,10.7315035,1,sans-serif-1
Nunito 300,300,sans-serif,-1.219344,10.649789,1,sans-serif-1
Nunito 300italic,300italic,sans-serif,-0.87786436,10.088754,1,sans-serif-1
Nunito regular,regular,sans-serif,-0.9917941,9.059728,1,sans-serif-1
Nunito italic,italic,sans-serif,-0.9393592,9.059083,1,sans-serif-1
Nunito 600,600,sans-serif,-0.9339863,8.688247,1,sans-serif-1
Nunito 600italic,600italic,sans-serif,-0.8540869,8.567479,1,sans-serif-1
Nunito 700,700,sans-serif,-1.0263973,8.09327,0,sans-serif-0
Nunito 700italic,700italic,sans-serif,-1.0103984,7.9858623,0,sans-serif-0
Nunito 800,800,sans-serif,-1.0888156,7.7793717,0,sans-serif-0
Nunito 800italic,800italic,sans-serif,-1.0254313,7.7628965,0,sans-serif-0
Nunito 900,900,sans-serif,-1.2644825,7.619916,0,sans-serif-0
Nunito 900italic,900italic,sans-serif,-1.0640497,7.6033616,0,sans-serif-0
Lobster regular,regular,display,-0.48612362,6.3629184,2,display-2
Crimson Text regular,regular,serif,-2.7622468,-1.618796,0,serif-0
Crimson Text italic,italic,serif,0.49569762,3.3945806,1,serif-1
Crimson Text 600,600,serif,-3.749952,-0.36107898,2,serif-2
Crimson Text 600italic,600italic,serif,0.4763771,3.539278,1,serif-1
Crimson Text 700,700,serif,-3.9380562,0.3173068,2,serif-2
Crimson Text 700italic,700italic,serif,0.4672746,3.6152174,1,serif-1
Yanone Kaffeesatz 200,200,sans-serif,-1.0033591,11.456668,1,sans-serif-1
Yanone Kaffeesatz 300,300,sans-serif,-1.7269934,10.007272,1,sans-serif-1
Yanone Kaffeesatz regular,regular,sans-serif,-1.9708594,7.130783,0,sans-serif-0
Yanone Kaffeesatz 700,700,sans-serif,-1.8815452,7.1018734,0,sans-serif-0
Roboto Mono 100,100,monospace,5.5455446,8.064476,1,monospace-1
Roboto Mono 100italic,100italic,monospace,5.5107756,8.141547,2,monospace-2
