name,variant,category,x,y,cluster_in_cat,cluster_key
Cuprum italic,italic,sans-serif,3.7260115,10.083972,2,sans-serif-2
Cuprum 700,700,sans-serif,-3.1755028,7.314154,0,sans-serif-0
Cuprum 700italic,700italic,sans-serif,3.8468068,10.035058,2,sans-serif-2
Signika 300,300,sans-serif,-3.5777183,10.551964,1,sans-serif-1
Signika regular,regular,sans-serif,-4.0610304,8.448936,0,sans-serif-0
Signika 600,600,sans-serif,-3.9564464,8.262052,0,sans-serif-0
Signika 700,700,sans-serif,-4.025886,8.174576,0,sans-serif-0
Archivo Narrow regular,regular,sans-serif,-2.5177095,7.6976037,0,sans-serif-0
Archivo Narrow italic,italic,sans-serif,3.3078659,9.934067,2,sans-serif-2
Archivo Narrow 700,700,sans-serif,-2.9066553,7.127762,0,sans-serif-0
Archivo Narrow 700italic,700italic,sans-serif,3.8590212,9.922645,2,sans-serif-2
Play regular,regular,sans-serif,-3.9669461,9.732365,1,sans-serif-1
Play 700,700,sans-serif,-4.6038766,6.542535,0,sans-serif-0
Questrial regular,regular,sans-serif,-2.4583268,10.691768,1,sans-serif-1
Shadows Into Light regular,regular,handwriting,-0.2119627,8.191095,0,handwriting-0
Dancing Script regular,regular,handwriting,0.7194516,6.4836373,2,handwriting-2
Dancing Script 700,700,handwriting,0.589667,6.5018916,2,handwriting-2
PT Sans Caption regular,regular,sans-serif,-3.853888,10.312303,1,sans-serif-1
PT Sans Caption 700,700,sans-serif,-4.558394,7.934021,0,sans-serif-0
Alegreya regular,regular,serif,-3.0761704,-0.40218967,0,serif-0
Alegreya italic,italic,serif,0.18669195,3.81431,1,serif-1
Alegreya 700,700,serif,-4.708465,0.31134084,2,serif-2
Alegreya 700italic,700italic,serif,-0.019935863,4.1186757,1,serif-1
Alegreya 900,900,serif,-4.6507845,0.3992357,2,serif-2
Alegreya 900italic,900italic,serif,-0.10298128,4.2821856,1,serif-1
Francois One regular,regular,sans-serif,-2.958421,7.0913997,0,sans-serif-0
Exo 100,100,sans-serif,-0.47082058,11.831473,1,sans-serif-1
Exo 100italic,100italic,sans-serif,1.2040961,10.400308,1,sans-serif-1
Exo 200,200,sans-serif,-1.1445272,11.444156,1,sans-serif-1
Exo 200italic,200italic,sans-serif,1.433632,9.994664,1,sans-serif-1
Exo 300,300,sans-serif,-1.7210591,10.79632,1,sans-serif-1
Exo 300italic,300italic,sans-serif,1.7016075,9.723764,1,sans-serif-1
Exo regular,regular,sans-serif,-3.2160332,9.835166,1,sans-serif-1
Exo italic,italic,sans-serif,2.2268836,9.364475,2,sans-serif-2
Exo 500,500,sans-serif,-3.5110857,9.45696,0,sans-serif-0
Exo 500italic,500italic,sans-serif,2.7561617,9.347011,2,sans-serif-2
Exo 600,600,sans-serif,-3.8492966,7.6665287,0,sans-serif-0
Exo 600italic,600italic,sans-serif,3.4455485,9.521019,2,sans-serif-2
Exo 700,700,sans-serif,-3.8058362,7.546998,0,sans-serif-0
Exo 700italic,700italic,sans-serif,3.5572908,9.449902,2,sans-serif-2
Exo 800,800,sans-serif,-3.8732634,7.298404,0,sans-serif-0
Exo 800italic,800italic,sans-serif,3.7202818,9.517226,2,sans-serif-2
Exo 900,900,sans-serif,-4.1051445,6.9351635,0,sans-serif-0
Exo 900italic,900italic,sans-serif,4.092083,9.679212,2,sans-serif-2
Acme regular,regular,sans-serif,-3.0639153,7.6736946,0,sans-serif-0
EB Garamond regular,regular,serif,-2.6780527,-1.6304777,0,serif-0
Vollkorn regular,regular,serif,-3.1159513,-0.34274372,2,serif-2
Vollkorn italic,italic,serif,0.031985477,3.8881414,1,serif-1
Vollkorn 700,700,serif,-3.878546,1.018496,2,serif-2
Vollkorn 700italic,700italic,serif,-0.7193015,3.9819405,1,serif-1
Source Code Pro 200,200,monospace,5.6151924,8.022575,1,monospace-1
Source Code Pro 300,300,monospace,5.685937,7.960414,1,monospace-1
Source Code Pro regular,regular,monospace,5.873142,7.8916245,1,monospace-1
Source Code Pro 500,500,monospace,6.076486,7.9865375,1,monospace-1
Source Code Pro 600,600,monospace,6.1616645,8.03628,0,monospace-0
Source Code Pro 700,700,monospace,6.2661433,8.12183,0,monospace-0
Source Code Pro 900,900,monospace,6.29498,8.134357,0,monospace-0
Maven Pro regular,regular,sans-serif,-3.0890076,10.604627,1,sans-serif-1
Maven Pro 500,500,sans-serif,-4.5163174,8.7051325,0,sans-serif-0
Maven Pro 700,700,sans-serif,-4.6668873,7.6642995,0,sans-serif-0
Maven Pro 900,900,sans-serif,-4.6600895,7.3229585,0,sans-serif-0
Pathway Gothic One regular,regular,sans-serif,-2.0924432,7.1606946,0,sans-serif-0
Amatic SC regular,regular,handwriting,-1.7092824,7.484602,1,handwriting-1
Amatic SC 700,700,handwriting,-1.786859,7.415024,1,handwriting-1
Archivo Black regular,regular,sans-serif,-4.6493044,6.456212,0,sans-serif-0
Rokkitt 100,100,serif,-1.4488925,-0.63847595,0,serif-0
Rokkitt 200,200,serif,-1.5674202,-0.36826715,0,serif-0
Rokkitt 300,300,serif,-1.7834947,-0.10747572,0,serif-0
Rokkitt regular,regular,serif,-2.5959256,0.34555545,0,serif-0
Rokkitt 500,500,serif,-3.183899,0.634429,2,serif-2
Rokkitt 600,600,serif,-3.1561477,0.80752313,2,serif-2
Rokkitt 700,700,serif,-3.8143263,0.9809352,2,serif-2
Rokkitt 800,800,serif,-4.081357,1.0693921,2,serif-2
Rokkitt 900,900,serif,-3.9980679,1.129979,2,serif-2
Crete Round regular,regular,serif,-4.171368,0.33283162,2,serif-2
Crete Round italic,italic,serif,-0.17116034,4.027212,1,serif-1
Libre Franklin 100,100,sans-serif,-1.034055,11.356748,1,sans-serif-1
Libre Franklin 100italic,100italic,sans-serif,1.2667649,10.066176,1,sans-serif-1
Libre Franklin 200,200,sans-serif,-1.3444661,11.112004,1,sans-serif-1
Libre Franklin 200italic,200italic,sans-serif,1.2893033,9.794547,1,sans-serif-1
Libre Franklin 300,300,sans-serif,-1.6804479,10.86612,1,sans-serif-1
Libre Franklin 300italic,300italic,sans-serif,1.4660449,9.661866,1,sans-serif-1
Libre Franklin regular,regular,sans-serif,-2.9556344,10.203557,1,sans-serif-1
Libre Franklin italic,italic,sans-serif,1.9901515,9.212828,1,sans-serif-1
Libre Franklin 500,500,sans-serif,-3.4109735,9.483404,1,sans-serif-1
Libre Franklin 500italic,500italic,sans-serif,2.5068557,8.862323,2,sans-serif-2
Libre Franklin 600,600,sans-serif,-4.7088957,8.047785,0,sans-serif-0
Libre Franklin 600italic,600italic,sans-serif,3.1004865,8.615253,2,sans-serif-2
Libre Franklin 700,700,sans-serif,-4.749316,7.708027,0,sans-serif-0
Libre Franklin 700italic,700italic,sans-serif,3.2892861,8.562451,2,sans-serif-2
Libre Franklin 800,800,sans-serif,-4.7280684,7.1845303,0,sans-serif-0
Libre Franklin 800italic,800italic,sans-serif,3.398774,8.465857,2,sans-serif-2
Libre Franklin 900,900,sans-serif,-4.8112555,6.9188285,0,sans-serif-0
Libre Franklin 900italic,900italic,sans-serif,3.475973,8.393818,2,sans-serif-2
Ropa Sans regular,regular,sans-serif,-3.019197,8.151748,0,sans-serif-0
Ropa Sans italic,italic,sans-serif,2.9954748,9.676839,2,sans-serif-2
Alegreya Sans 100,100,sans-serif,-0.39580485,11.906828,1,sans-serif-1
Alegreya Sans 100italic,100italic,sans-serif,1.4630487,10.1615925,1,sans-serif-1
Alegreya Sans 300,300,sans-serif,-1.5368127,11.294366,1,sans-serif-1
Alegreya Sans 300italic,300italic,sans-serif,1.6156431,10.025768,1,sans-serif-1
Alegreya Sans regular,regular,sans-serif,-2.8125212,9.507061,1,sans-serif-1
Alegreya Sans italic,italic,sans-serif,2.8518934,9.714189,2,sans-serif-2
Alegreya Sans 500,500,sans-serif,-3.0177548,8.689075,0,sans-serif-0
Alegreya Sans 500italic,500italic,sans-serif,3.3569243,9.697282,2,sans-serif-2
Alegreya Sans 700,700,sans-serif,-3.058895,7.9738774,0,sans-serif-0
Alegreya Sans 700italic,700italic,sans-serif,3.6441593,9.536101,2,sans-serif-2
Alegreya Sans 800,800,sans-serif,-3.2970428,7.458678,0,sans-serif-0
Alegreya Sans 800italic,800italic,sans-serif,3.8101735,9.5749235,2,sans-serif-2
Alegreya Sans 900,900,sans-serif,-3.6415322,7.2810316,0,sans-serif-0
Alegreya Sans 900italic,900italic,sans-serif,4.0010276,9.648558,2,sans-serif-2
Patua One regular,regular,display,-4.6528554,0.45179507,1,display-1
Source Serif Pro regular,regular,serif,-2.9595082,-0.39624146,0,serif-0
Source Serif Pro 600,600,serif,-3.8581371,-0.06700188,2,serif-2
Source Serif Pro 700,700,serif,-4.041594,0.016735569,2,serif-2
Architects Daughter regular,regular,handwriting,-0.5595067,9.304036,0,handwriting-0
Istok Web regular,regular,sans-serif,-3.7813349,10.594939,1,sans-serif-1
Istok Web italic,italic,sans-serif,2.298047,9.208533,2,sans-serif-2
Istok Web 700,700,sans-serif,-4.513058,8.287115,0,sans-serif-0
Istok Web 700italic,700italic,sans-serif,2.2690883,9.192764,2,sans-serif-2
Cinzel regular,regular,serif,-5.098911,3.4611068,0,serif-0
Cinzel 700,700,serif,-5.112393,3.5464225,2,serif-2
Cinzel 900,900,serif,-5.1278553,3.6006477,2,serif-2
BenchNine 300,300,sans-serif,-1.8148097,7.3535275,1,sans-serif-1
BenchNine regular,regular,sans-serif,-2.0026875,7.2356744,0,sans-serif-0
BenchNine 700,700,sans-serif,-2.0670385,7.1941304,0,sans-serif-0
Comfortaa 300,300,display,-1.0713731,10.555262,2,display-2
Comfortaa regular,regular,display,-1.0138532,10.272508,2,display-2
Comfortaa 700,700,display,-0.8986782,8.998229,2,display-2
Satisfy regular,regular,handwriting,0.5204091,6.486739,2,handwriting-2
Josefin Slab 100,100,serif,-1.3139615,-0.79824835,0,serif-0
Josefin Slab 100italic,100italic,serif,-1.2641047,-0.8287917,0,serif-0
Josefin Slab 300,300,serif,-1.3649205,-0.75418425,0,serif-0
Josefin Slab 300italic,300italic,serif,-1.4755481,-0.7485102,0,serif-0
Josefin Slab regular,regular,serif,-1.4491749,-0.58623236,0,serif-0
Josefin Slab italic,italic,serif,-1.5766169,-0.28391668,0,serif-0
Josefin Slab 600,600,serif,-1.6949009,-0.53373706,0,serif-0
Josefin Slab 600italic,600italic,serif,-1.6642702,-0.13156639,0,serif-0
Josefin Slab 700,700,serif,-2.2576292,-0.594331,0,serif-0
Josefin Slab 700italic,700italic,serif,-0.24066125,3.6589065,1,serif-1
News Cycle regular,regular,sans-serif,-2.5910933,9.948887,1,sans-serif-1
News Cycle 700,700,sans-serif,-2.8294587,7.4046926,0,sans-serif-0
Lobster Two regular,regular,display,-0.529658,6.4014697,2,display-2
Lobster Two italic,italic,display,-0.4857011,6.3781314,2,display-2
Lobster Two 700,700,display,-0.59603465,6.4032483,2,display-2
Lobster Two 700italic,700italic,display,-0.4984574,6.387505,2,display-2
Russo One regular,regular,sans-serif,-4.711161,6.6065774,0,sans-serif-0
Passion One regular,regular,display,-3.5638375,6.742849,2,display-2
Passion One 700,700,display,-5.0597005,6.5012875,2,display-2
Passion One 900,900,display,-5.1162276,6.532976,0,display-0
Cormorant Garamond 300,300,serif,-2.0279772,-1.6962031,0,serif-0
Cormorant Garamond 300italic,300italic,serif,0.42586273,2.9381306,1,serif-1
Cormorant Garamond regular,regular,serif,-2.0981486,-1.7649186,0,serif-0
Cormorant Garamond italic,italic,serif,0.45745376,2.939255,1,serif-1
Cormorant Garamond 500,500,serif,-2.1691432,-1.8277488,0,serif-0
Cormorant Garamond 500italic,500italic,serif,0.61468375,3.1299095,1,serif-1
Cormorant Garamond 600,600,serif,-2.2510934,-1.9867047,0,serif-0
Cormorant Garamond 600italic,600italic,serif,0.68836004,3.1636186,1,serif-1
Cormorant Garamond 700,700,serif,-2.2978544,-1.9701891,2,serif-2
Cormorant Garamond 700italic,700italic,serif,0.7308339,3.2242246,1,serif-1
Noticia Text regular,regular,serif,-2.3594599,0.20513919,0,serif-0
Noticia Text italic,italic,serif,-0.41171396,3.7465463,1,serif-1
Noticia Text 700,700,serif,-3.6389556,0.13927352,2,serif-2
Noticia Text 700italic,700italic,serif,-0.5676996,3.8765473,1,serif-1
Old Standard TT regular,regular,serif,-2.3504057,-0.82082206,0,serif-0
Old Standard TT italic,italic,serif,-0.22473983,3.4398685,1,serif-1
Old Standard TT 700,700,serif,-4.3623796,-0.34560475,2,serif-2
Hammersmith One regular,regular,sans-serif,-3.7861483,8.118988,0,sans-serif-0
Quattrocento Sans regular,regular,sans-serif,-2.6078784,10.057767,1,sans-serif-1
Quattrocento Sans italic,italic,sans-serif,1.9421527,9.236002,1,sans-serif-1
Quattrocento Sans 700,700,sans-serif,-3.203368,8.683238,0,sans-serif-0
Quattrocento Sans 700italic,700italic,sans-serif,3.221579,9.202641,2,sans-serif-2
ABeeZee regular,regular,sans-serif,-3.8805754,10.237493,1,sans-serif-1
ABeeZee italic,italic,sans-serif,2.3903823,9.253468,2,sans-serif-2
Kanit 100,100,sans-serif,-0.47958258,11.855143,1,sans-serif-1
Kanit 100italic,100italic,sans-serif,1.1915075,10.383901,1,sans-serif-1
Kanit 200,200,sans-serif,-1.5306975,10.9122305,1,sans-serif-1
Kanit 200italic,200italic,sans-serif,1.4288847,9.707398,1,sans-serif-1
Kanit 300,300,sans-serif,-2.9751868,10.148688,1,sans-serif-1
Kanit 300italic,300italic,sans-serif,2.1207924,9.073356,2,sans-serif-2
Kanit regular,regular,sans-serif,-3.7077987,9.111677,0,sans-serif-0
Kanit italic,italic,sans-serif,2.9386082,8.635692,2,sans-serif-2
Kanit 500,500,sans-serif,-4.6975536,7.7646093,0,sans-serif-0
Kanit 500italic,500italic,sans-serif,3.1488237,8.565077,2,sans-serif-2
Kanit 600,600,sans-serif,-4.61364,7.3776326,0,sans-serif-0
Kanit 600italic,600italic,sans-serif,3.4032845,8.356663,2,sans-serif-2
Kanit 700,700,sans-serif,-4.57152,7.0065155,0,sans-serif-0
Kanit 700italic,700italic,sans-serif,3.598005,8.2833,2,sans-serif-2
Kanit 800,800,sans-serif,-5.0539584,6.7085295,0,sans-serif-0
Kanit 800italic,800italic,sans-serif,3.6636183,8.2471,2,sans-serif-2
Kanit 900,900,sans-serif,-5.1047,6.5630527,0,sans-serif-0
Kanit 900italic,900italic,sans-serif,3.6681218,8.250025,2,sans-serif-2
Kaushan Script regular,regular,handwriting,0.3426795,7.0736217,1,handwriting-1
Righteous regular,regular,display,-5.2218,7.583108,2,display-2
Poiret One regular,regular,display,-0.4422066,11.834424,1,display-1
Gudea regular,regular,sans-serif,-3.7370844,10.454359,1,sans-serif-1
Gudea italic,italic,sans-serif,2.5107548,9.703961,2,sans-serif-2
Gudea 700,700,sans-serif,-4.0654473,7.7275805,0,sans-serif-0
Sanchez regular,regular,serif,-2.3955271,0.23007165,0,serif-0
Sanchez italic,italic,serif,-2.1372898,0.36989138,1,serif-1
Monda regular,regular,sans-serif,-4.0068555,9.857083,1,sans-serif-1
Monda 700,700,sans-serif,-4.3864565,8.354496,0,sans-serif-0
Quattrocento regular,regular,serif,-2.0209053,-0.7390232,0,serif-0
Quattrocento 700,700,serif,-3.0756564,0.04828919,2,serif-2
Rajdhani 300,300,sans-serif,-0.9018225,11.627964,1,sans-serif-1
Rajdhani regular,regular,sans-serif,-1.7734052,10.684489,1,sans-serif-1
Rajdhani 500,500,sans-serif,-3.7425444,9.697682,1,sans-serif-1
Rajdhani 600,600,sans-serif,-3.3514607,8.022702,0,sans-serif-0
Rajdhani 700,700,sans-serif,-3.6445909,7.520344,0,sans-serif-0
Courgette regular,regular,handwriting,0.06621306,6.872218,0,handwriting-0
Khand 300,300,sans-serif,-1.9354688,9.830568,1,sans-serif-1
Khand regular,regular,sans-serif,-2.404752,7.2505655,0,sans-serif-0
Khand 500,500,sans-serif,-2.7391062,6.8301077,0,sans-serif-0
Khand 600,600,sans-serif,-2.820361,6.7127786,0,sans-serif-0
Khand 700,700,sans-serif,-2.9126441,6.653013,0,sans-serif-0
Shrikhand regular,regular,display,-0.8165078,4.383332,2,display-2
Cantarell regular,regular,sans-serif,-3.621677,10.52086,1,sans-serif-1
Cantarell italic,italic,sans-serif,2.6278477,9.166952,2,sans-serif-2
Cantarell 700,700,sans-serif,-4.863031,8.232934,0,sans-serif-0
Cantarell 700italic,700italic,sans-serif,2.9734998,8.883393,2,sans-serif-2
Domine regular,regular,serif,-2.669367,-0.18121849,0,serif-0
Domine 700,700,serif,-4.0532756,0.16525516,2,serif-2
Economica regular,regular,sans-serif,-2.033576,7.315796,0,sans-serif-0
Economica italic,italic,sans-serif,3.241674,10.256961,2,sans-serif-2
Economica 700,700,sans-serif,-2.2418137,7.119935,0,sans-serif-0
Economica 700italic,700italic,sans-serif,3.3614936,10.269603,2,sans-serif-2
Yellowtail regular,regular,handwriting,0.569282,6.4130607,2,handwriting-2
Philosopher regular,regular,sans-serif,-3.3695495,9.366424,1,sans-serif-1
Philosopher italic,italic,sans-serif,2.3291833,8.985327,2,sans-serif-2
Philosopher 700,700,sans-serif,-3.4082677,9.180588,0,sans-serif-0
Philosopher 700italic,700italic,sans-serif,2.8242373,8.655673,2,sans-serif-2
Pontano Sans regular,regular,sans-serif,-2.3477933,11.281396,1,sans-serif-1
Yantramanav 100,100,sans-serif,-0.44247425,11.881684,1,sans-serif-1
Yantramanav 300,300,sans-serif,-1.556461,10.89477,1,sans-serif-1
Yantramanav regular,regular,sans-serif,-3.7986946,10.526681,1,sans-serif-1
Yantramanav 500,500,sans-serif,-4.508511,8.3332405,0,sans-serif-0
Yantramanav 700,700,sans-serif,-4.0367417,7.5462704,0,sans-serif-0
Yantramanav 900,900,sans-serif,-3.9725258,7.3216944,0,sans-serif-0
Permanent Marker regular,regular,handwriting,-0.067950785,6.971051,0,handwriting-0
Chewy regular,regular,display,-1.0505896,6.845142,2,display-2
Tinos regular,regular,serif,-2.8491573,-1.0525371,0,serif-0
Tinos italic,italic,serif,-0.23035485,3.9338095,1,serif-1
Tinos 700,700,serif,-4.471416,-0.17608258,2,serif-2
Tinos 700italic,700italic,serif,-0.14393288,4.020342,1,serif-1
Arapey regular,regular,serif,-2.6088607,-0.97032475,0,serif-0
Arapey italic,italic,serif,0.061534617,3.3519118,1,serif-1
Cabin Condensed regular,regular,sans-serif,-2.8363786,7.6825404,0,sans-serif-0
Cabin Condensed 500,500,sans-serif,-2.8348749,7.63466,0,sans-serif-0
Cabin Condensed 600,600,sans-serif,-2.9248354,7.569863,0,sans-serif-0
Cabin Condensed 700,700,sans-serif,-2.945743,7.4597635,0,sans-serif-0
Cardo regular,regular,serif,-2.4935918,-1.7219232,0,serif-0
Cardo italic,italic,serif,0.58329874,3.3484066,1,serif-1
Cardo 700,700,serif,-3.373223,-0.82992506,2,serif-2
Cookie regular,regular,handwriting,0.40690425,6.660474,0,handwriting-0
Playfair Display SC regular,regular,serif,-5.20061,3.4123087,0,serif-0
Playfair Display SC italic,italic,serif,-5.0827847,3.588133,1,serif-1
Playfair Display SC 700,700,serif,-5.161591,3.4935474,2,serif-2
Playfair Display SC 700italic,700italic,serif,-5.08273,3.6304004,1,serif-1
Playfair Display SC 900,900,serif,-5.16692,3.5514934,2,serif-2
Playfair Display SC 900italic,900italic,serif,-5.082383,3.674329,1,serif-1
Handlee regular,regular,handwriting,-0.49307063,8.248055,0,handwriting-0
Alfa Slab One regular,regular,display,-3.9922092,1.1931927,2,display-2
Armata regular,regular,sans-serif,-3.6029923,10.214564,1,sans-serif-1
Audiowide regular,regular,display,-4.4072804,8.950397,2,display-2
Kalam 300,300,handwriting,0.4085938,7.3686547,0,handwriting-0
Kalam regular,regular,handwriting,0.23022321,7.2692466,0,handwriting-0
Kalam 700,700,handwriting,0.060811542,7.112336,0,handwriting-0
Antic Slab regular,regular,serif,-1.9407684,-0.6185318,0,serif-0
Teko 300,300,sans-serif,-1.9043636,7.0894265,0,sans-serif-0
Teko regular,regular,sans-serif,-1.9456712,7.0651774,0,sans-serif-0
Teko 500,500,sans-serif,-2.1992636,7.026281,0,sans-serif-0
Teko 600,600,sans-serif,-3.0569925,6.799738,0,sans-serif-0
Teko 700,700,sans-serif,-3.7999742,6.8675847,0,sans-serif-0
Boogaloo regular,regular,display,-2.0728805,6.9342136,2,display-2
Ruda regular,regular,sans-serif,-3.2316322,9.702867,1,sans-serif-1
Ruda 700,700,sans-serif,-3.6473212,8.185116,0,sans-serif-0
Ruda 900,900,sans-serif,-3.8818688,7.809712,0,sans-serif-0
Vidaloka regular,regular,serif,-4.4381394,-0.3535105,2,serif-2
Shadows Into Light Two regular,regular,handwriting,-0.19877993,8.342261,0,handwriting-0
Droid Sans Mono regular,regular,monospace,5.965138,7.9123616,1,monospace-1
Oleo Script regular,regular,display,-0.18269771,6.618624,2,display-2
Oleo Script 700,700,display,-0.24673678,6.6795344,2,display-2
Days One regular,regular,sans-serif,-4.3976107,6.366311,0,sans-serif-0
Great Vibes regular,regular,handwriting,1.117139,6.3314896,2,handwriting-2
Heebo 100,100,sans-serif,-0.40953046,11.878018,1,sans-serif-1
Heebo 300,300,sans-serif,-1.6540989,10.938793,1,sans-serif-1
Heebo regular,regular,sans-serif,-3.7282414,10.579943,1,sans-serif-1
Heebo 500,500,sans-serif,-4.429895,8.210823,0,sans-serif-0
Heebo 700,700,sans-serif,-4.0258837,7.453068,0,sans-serif-0
Heebo 800,800,sans-serif,-4.0331564,7.4103856,0,sans-serif-0
Heebo 900,900,sans-serif,-4.1185637,7.198092,0,sans-serif-0
Concert One regular,regular,display,-1.1962633,7.5204635,2,display-2
Kreon 300,300,serif,-2.69307,-1.1035175,0,serif-0
Kreon regular,regular,serif,-3.3095045,-0.7240905,2,serif-2
Kreon 700,700,serif,-4.500524,0.20197533,2,serif-2
Ek Mukta 200,200,sans-serif,-1.5583398,11.248847,1,sans-serif-1
Ek Mukta 300,300,sans-serif,-2.5324576,10.075006,1,sans-serif-1
Ek Mukta regular,regular,sans-serif,-3.0668342,9.402775,1,sans-serif-1
Ek Mukta 500,500,sans-serif,-3.4043334,8.83317,0,sans-serif-0
Ek Mukta 600,600,sans-serif,-3.6308775,8.348512,0,sans-serif-0
Ek Mukta 700,700,sans-serif,-3.8004932,8.023997,0,sans-serif-0
Ek Mukta 800,800,sans-serif,-3.8172727,7.620727,0,sans-serif-0
Tangerine regular,regular,handwriting,1.0573194,6.387666,2,handwriting-2
Tangerine 700,700,handwriting,0.9056704,6.309218,2,handwriting-2
Patrick Hand regular,regular,handwriting,-0.6569077,8.1027155,0,handwriting-0
Hind Siliguri 300,300,sans-serif,-2.4542382,11.433236,1,sans-serif-1
Hind Siliguri regular,regular,sans-serif,-4.2199254,11.006213,1,sans-serif-1
Hind Siliguri 500,500,sans-serif,-5.338217,9.483787,0,sans-serif-0
Hind Siliguri 600,600,sans-serif,-7.521835,9.577147,0,sans-serif-0
Hind Siliguri 700,700,sans-serif,9.276969,11.205253,0,sans-serif-0
Didact Gothic regular,regular,sans-serif,-2.522782,10.72137,1,sans-serif-1
Neuton 200,200,serif,-1.5949233,-0.9278529,0,serif-0
Neuton 300,300,serif,-2.1456168,-0.9883364,0,serif-0
Neuton regular,regular,serif,-3.1558177,-0.85246295,2,serif-2
Neuton italic,italic,serif,0.018612558,3.794208,1,serif-1
Neuton 700,700,serif,-4.520507,0.34192708,2,serif-2
Neuton 800,800,serif,-4.6506424,0.4123973,2,serif-2
Covered By Your Grace regular,regular,handwriting,-0.17135848,7.8223596,0,handwriting-0
Amiri regular,regular,serif,-2.6637778,-1.5274631,0,serif-0
Amiri italic,italic,serif,0.43370748,3.4511666,1,serif-1
Amiri 700,700,serif,-4.128088,-0.032928884,2,serif-2
Amiri 700italic,700italic,serif,0.47594103,3.6524806,1,serif-1
Rock Salt regular,regular,handwriting,-0.31386808,8.2413225,0,handwriting-0
Bad Script regular,regular,handwriting,0.43095484,7.4481964,1,handwriting-1
Coming Soon regular,regular,handwriting,-0.17013922,8.6953745,0,handwriting-0
Playball regular,regular,display,0.5234434,6.6060534,2,display-2
Rochester regular,regular,handwriting,0.57584983,6.4070234,2,handwriting-2
Volkhov regular,regular,serif,-3.6940315,-0.015439424,2,serif-2
Volkhov italic,italic,serif,-0.090209566,3.9486358,1,serif-1
Volkhov 700,700,serif,-4.0529428,0.29314584,2,serif-2
Volkhov 700italic,700italic,serif,-0.010915232,4.039162,1,serif-1
Damion regular,regular,handwriting,0.59880817,6.4026566,2,handwriting-2
Glegoo regular,regular,serif,-1.6924874,-0.14867431,0,serif-0
Glegoo 700,700,serif,-2.459332,0.19383903,0,serif-0
Sacramento regular,regular,handwriting,1.0315917,6.3444395,2,handwriting-2
Coda regular,regular,display,-3.902718,9.599879,2,display-2
Coda 800,800,display,-5.1067166,6.533812,2,display-2
Fredoka One regular,regular,display,-3.1054215,5.636445,2,display-2
Sorts Mill Goudy regular,regular,serif,-2.69555,-1.4787438,0,serif-0
Sorts Mill Goudy italic,italic,serif,0.5921404,3.1501966,1,serif-1
Luckiest Guy regular,regular,display,-4.5483365,5.7725787,2,display-2
Marck Script regular,regular,handwriting,0.7747354,6.4966006,2,handwriting-2
Sintony regular,regular,sans-serif,-2.9331203,9.953676,1,sans-serif-1
Sintony 700,700,sans-serif,-3.81044,8.235681,0,sans-serif-0
Jura 300,300,sans-serif,-0.9049588,9.940198,1,sans-serif-1
Jura regular,regular,sans-serif,-0.79424036,9.678973,1,sans-serif-1
Jura 500,500,sans-serif,-0.7539954,9.550967,1,sans-serif-1
Jura 600,600,sans-serif,-0.710379,9.477133,1,sans-serif-1
Bevan regular,regular,display,-3.8056874,1.1601317,2,display-2
Paytone One regular,regular,sans-serif,-5.22219,7.0150723,0,sans-serif-0
Nunito Sans 200,200,sans-serif,-0.75717413,10.978798,1,sans-serif-1
Nunito Sans 200italic,200italic,sans-serif,-0.6384834,10.720317,1,sans-serif-1
Nunito Sans 300,300,sans-serif,-1.2839668,10.70508,1,sans-serif-1
Nunito Sans 300italic,300italic,sans-serif,-0.9039843,10.26161,1,sans-serif-1
Nunito Sans regular,regular,sans-serif,-3.2636635,10.71955,1,sans-serif-1
Nunito Sans italic,italic,sans-serif,-1.2766819,9.665022,1,sans-serif-1
Nunito Sans 600,600,sans-serif,-3.6432376,10.542661,1,sans-serif-1
Nunito Sans 600italic,600italic,sans-serif,-1.4419787,9.633091,0,sans-serif-0
Nunito Sans 700,700,sans-serif,-4.8964252,8.141891,0,sans-serif-0
Nunito Sans 700italic,700italic,sans-serif,-5.302237,7.938387,0,sans-serif-0
Nunito Sans 800,800,sans-serif,-5.127467,7.709336,0,sans-serif-0
Nunito Sans 800italic,800italic,sans-serif,-5.3508763,7.815376,0,sans-serif-0
Nunito Sans 900,900,sans-serif,-5.1321225,7.3368783,0,sans-serif-0
Nunito Sans 900italic,900italic,sans-serif,-5.3238764,7.694175,0,sans-serif-0
Copse regular,regular,serif,-3.3633811,-0.40838626,2,serif-2
Sigmar One regular,regular,display,-4.5814238,5.4763336,2,display-2
Martel 200,200,serif,-1.8151914,-0.6401348,0,serif-0
Martel 300,300,serif,-1.9288692,-0.7097441,0,serif-0
Martel regular,regular,serif,-2.0650034,-0.54575807,0,serif-0
Martel 600,600,serif,-2.121248,-0.501268,0,serif-0
Martel 700,700,serif,-3.6583536,-0.13676423,2,serif-2
Martel 800,800,serif,-3.9588275,0.011754567,2,serif-2
Martel 900,900,serif,-4.5695353,0.32778957,2,serif-2
Actor regular,regular,sans-serif,-3.9001026,10.281437,1,sans-serif-1
Gentium Book Basic regular,regular,serif,-3.0327053,-0.54998785,0,serif-0
Gentium Book Basic italic,italic,serif,0.078050405,3.8962305,1,serif-1
