name,variant,category,x,y
Open Sans Condensed 300italic,300italic,sans-serif,-4.81535,8.995166
Open Sans Condensed 700,700,sans-serif,-0.075262435,8.096752
Lora regular,regular,serif,2.8083177,0.5526027
Lora italic,italic,serif,-2.7108088,4.108236
Lora 700,700,serif,-1.487106,0.81624
Lora 700italic,700italic,serif,-2.4961429,4.2165594
Droid Sans regular,regular,sans-serif,-3.7627575,11.072629
Droid Sans 700,700,sans-serif,-0.31923348,10.27497
Ubuntu 300,300,sans-serif,-6.11681,11.255803
Ubuntu 300italic,300italic,sans-serif,-6.0279574,13.727903
Ubuntu regular,regular,sans-serif,-2.8470469,12.472887
Ubuntu italic,italic,sans-serif,-4.897362,15.294035
Ubuntu 500,500,sans-serif,-1.2513924,11.671695
Ubuntu 500italic,500italic,sans-serif,-4.5094714,16.122076
Ubuntu 700,700,sans-serif,-0.91224575,11.188277
Ubuntu 700italic,700italic,sans-serif,-4.6657324,16.468542
Droid Serif regular,regular,serif,1.7801572,1.5765467
Droid Serif italic,italic,serif,-3.3261046,4.023399
Droid Serif 700,700,serif,-1.0482277,1.4109209
Droid Serif 700italic,700italic,serif,-3.1768212,4.5304155
Playfair Display regular,regular,serif,2.219582,-0.13741347
Playfair Display italic,italic,serif,-4.8062572,3.415803
Playfair Display 700,700,serif,-0.9628966,-0.20914768
Playfair Display 700italic,700italic,serif,-4.451129,4.099226
Playfair Display 900,900,serif,-1.15042,-0.119138524
Playfair Display 900italic,900italic,serif,-4.1934695,4.0503407
Noto Sans regular,regular,sans-serif,-4.6107316,12.562824
Noto Sans italic,italic,sans-serif,-5.575818,14.764132
Noto Sans 700,700,sans-serif,-0.18292584,11.933387
Noto Sans 700italic,700italic,sans-serif,-3.882232,16.923382
PT Serif regular,regular,serif,1.8924037,-0.040212117
PT Serif italic,italic,serif,-3.080871,3.201313
PT Serif 700,700,serif,-0.9036909,0.854522
PT Serif 700italic,700italic,serif,-3.0908844,3.7894394
Arimo regular,regular,sans-serif,-4.0698347,12.736934
Arimo italic,italic,sans-serif,-6.395019,14.800912
Arimo 700,700,sans-serif,-0.3508175,11.862271
Arimo 700italic,700italic,sans-serif,-6.446046,16.642086
Titillium Web 200,200,sans-serif,-8.303137,9.262926
Titillium Web 200italic,200italic,sans-serif,-7.1783576,12.607869
Titillium Web 300,300,sans-serif,-5.2032166,10.5253525
Titillium Web 300italic,300italic,sans-serif,-5.759242,14.016757
