name	variant	category	x	y
Cantarell regular	regular	sans-serif	3.1274586	5.760688
Domine regular	regular	serif	-3.168627	2.0630145
Economica regular	regular	sans-serif	0.6519334	6.28502
Yellowtail regular	regular	handwriting	-1.1826504	8.926372
Philosopher regular	regular	sans-serif	3.8451414	5.2650323
Pontano Sans regular	regular	sans-serif	3.6253598	6.1479826
Yantramanav regular	regular	sans-serif	3.6308055	5.7143397
Permanent Marker regular	regular	handwriting	-1.0274416	7.8445315
Chewy regular	regular	display	-1.0748003	6.92745
Tinos regular	regular	serif	-3.517148	1.1013037
Arapey regular	regular	serif	-3.0469372	0.8030121
Cabin Condensed regular	regular	sans-serif	0.9575399	5.0400257
Cardo regular	regular	serif	-4.228765	0.93607795
Cookie regular	regular	handwriting	-0.70590335	8.545984
Playfair Display SC regular	regular	serif	-0.8611806	1.8320888
Handlee regular	regular	handwriting	1.4063317	7.447144
Alfa Slab One regular	regular	display	-1.7161793	4.337183
Armata regular	regular	sans-serif	2.9146247	5.763686
Audiowide regular	regular	display	1.6246907	4.870681
Kalam regular	regular	handwriting	0.13874082	8.036698
Antic Slab regular	regular	serif	-2.4959528	0.72972316
Teko regular	regular	sans-serif	0.57035714	6.433515
Boogaloo regular	regular	display	0.18975778	5.9729104
Ruda regular	regular	sans-serif	3.1436102	4.6726117
Vidaloka regular	regular	serif	-2.9201298	3.0984013
Shadows Into Light Two regular	regular	handwriting	1.2086933	7.816472
Droid Sans Mono regular	regular	monospace	6.6503158	8.842685
Oleo Script regular	regular	display	-0.5123791	7.6423936
Days One regular	regular	sans-serif	-1.1557618	5.13949
Great Vibes regular	regular	handwriting	-1.1445563	9.5189905
Heebo regular	regular	sans-serif	3.7687674	5.93944
Concert One regular	regular	display	-1.6191554	7.028848
Kreon regular	regular	serif	-3.6918452	1.9240437
Ek Mukta regular	regular	sans-serif	3.2141435	4.2706494
Tangerine regular	regular	handwriting	-1.0775795	9.535475
Patrick Hand regular	regular	handwriting	0.9469704	7.495828
Hind Siliguri regular	regular	sans-serif	4.646862	5.817094
Didact Gothic regular	regular	sans-serif	3.59154	6.661606
Neuton regular	regular	serif	-3.6957726	1.8190668
Covered By Your Grace regular	regular	handwriting	1.0433306	7.9738374
Amiri regular	regular	serif	-4.1956816	0.94871354
Rock Salt regular	regular	handwriting	1.4520161	7.8639083
Bad Script regular	regular	handwriting	0.52187705	8.617255
Coming Soon regular	regular	handwriting	1.7719779	7.8076777
Playball regular	regular	display	-0.64010686	8.777558
Rochester regular	regular	handwriting	-0.9237809	8.711436
Volkhov regular	regular	serif	-3.2178316	2.525078
Damion regular	regular	handwriting	-1.10467	8.900981
Glegoo regular	regular	serif	-2.0987098	0.8664014
Sacramento regular	regular	handwriting	-0.9630722	9.499663
Coda regular	regular	display	2.0158315	5.2512236
Fredoka One regular	regular	display	-1.7852651	6.9519124
Sorts Mill Goudy regular	regular	serif	-4.095056	1.0469663
Luckiest Guy regular	regular	display	-0.5830898	5.2021656
Marck Script regular	regular	handwriting	-0.9481468	9.025705
Sintony regular	regular	sans-serif	3.8073323	4.773293
Jura regular	regular	sans-serif	2.8020945	7.2207527
Bevan regular	regular	display	-1.800776	4.205298
Paytone One regular	regular	sans-serif	-1.0263449	4.749721
Nunito Sans regular	regular	sans-serif	3.62168	6.209154
Copse regular	regular	serif	-3.4350636	2.1725116
Sigmar One regular	regular	display	-1.5701524	5.294967
Martel regular	regular	serif	-2.3793988	0.87791574
Actor regular	regular	sans-serif	3.0416572	5.3311176
Gentium Book Basic regular	regular	serif	-3.101569	1.3814312
Amaranth regular	regular	sans-serif	0.91388255	5.0654063
Frank Ruhl Libre regular	regular	sans-serif	-3.2079263	1.256571
Sarala regular	regular	sans-serif	3.4511826	5.590336
Nothing You Could Do regular	regular	handwriting	-0.652414	9.218171
Alice regular	regular	serif	-2.7117286	1.9675969
PT Mono regular	regular	monospace	6.65416	8.825993
Adamina regular	regular	serif	-3.772927	0.887378
Gentium Basic regular	regular	serif	-3.0466814	1.1551344
Changa One regular	regular	display	-0.97142094	4.7982492
Varela regular	regular	sans-serif	3.7182195	6.246402
Nobile regular	regular	sans-serif	3.5470526	4.7506886
Neucha regular	regular	handwriting	1.0683787	6.162553
Homemade Apple regular	regular	handwriting	-1.2037687	9.805296
Syncopate regular	regular	sans-serif	2.8135169	6.9921565
Bangers regular	regular	display	-0.069890246	5.8775253
Rambla regular	regular	sans-serif	1.1043624	4.8050375
Signika Negative regular	regular	sans-serif	2.245535	5.393474
Julius Sans One regular	regular	sans-serif	2.398435	6.1631675
Cairo regular	regular	sans-serif	3.431805	4.5581245
Cantata One regular	regular	serif	-3.2909164	1.7711912
Molengo regular	regular	sans-serif	3.136707	3.9565969
Unica One regular	regular	display	1.4184991	5.304695
Baloo Bhaina regular	regular	display	-1.8763728	6.9936843
Black Ops One regular	regular	display	-1.2460737	4.886257
