name,variant,category,x,y
Roboto 100,100,sans-serif,-3.0863025,17.637417
Roboto 100italic,100italic,sans-serif,-3.4228919,16.113373
Roboto 300,300,sans-serif,-4.9076114,17.791351
Roboto 300italic,300italic,sans-serif,-4.9163437,14.636322
Roboto regular,regular,sans-serif,-7.76832,17.474588
Roboto italic,italic,sans-serif,-7.964383,11.553482
Roboto 500,500,sans-serif,-9.460046,15.804655
Roboto 500italic,500italic,sans-serif,-8.935456,10.893011
Roboto 700,700,sans-serif,-10.359398,14.734257
Roboto 700italic,700italic,sans-serif,-9.388522,10.341632
Roboto 900,900,sans-serif,-11.193564,14.124143
Roboto 900italic,900italic,sans-serif,-9.858191,10.371675
Open Sans 300,300,sans-serif,-4.211259,18.028597
Open Sans 300italic,300italic,sans-serif,-4.461888,14.939157
Open Sans regular,regular,sans-serif,-6.646482,17.813992
Open Sans italic,italic,sans-serif,-7.2277026,11.792773
Open Sans 600,600,sans-serif,-8.548183,16.624697
Open Sans 600italic,600italic,sans-serif,-8.492886,10.437811
Open Sans 700,700,sans-serif,-10.208872,15.230888
Open Sans 700italic,700italic,sans-serif,-9.106418,10.213885
Open Sans 800,800,sans-serif,-11.244388,14.585506
Open Sans 800italic,800italic,sans-serif,-9.72953,10.119328
Lato 100,100,sans-serif,-2.6491354,17.458166
Lato 100italic,100italic,sans-serif,-3.145253,16.602316
Lato 300,300,sans-serif,-3.9284801,18.35611
Lato 300italic,300italic,sans-serif,-4.2881055,15.102798
Lato regular,regular,sans-serif,-8.207531,17.66966
Lato italic,italic,sans-serif,-7.761814,11.2163315
Lato 700,700,sans-serif,-10.253936,14.801744
Lato 700italic,700italic,sans-serif,-9.271764,11.025293
Lato 900,900,sans-serif,-11.004103,13.967749
Lato 900italic,900italic,sans-serif,-10.082699,10.696127
Slabo 27px regular,regular,serif,-0.06448432,12.076333
Roboto Condensed 300,300,sans-serif,-5.8753266,17.799414
Roboto Condensed 300italic,300italic,sans-serif,-7.5315604,12.337195
Roboto Condensed regular,regular,sans-serif,-9.423258,13.983169
Roboto Condensed italic,italic,sans-serif,-9.388474,11.361033
Roboto Condensed 700,700,sans-serif,-10.623658,12.76348
Roboto Condensed 700italic,700italic,sans-serif,-10.410329,11.101252
Oswald 200,200,sans-serif,-6.3374605,16.361609
Oswald 300,300,sans-serif,-9.513562,13.3447275
Oswald regular,regular,sans-serif,-10.646921,12.647151
Oswald 500,500,sans-serif,-10.92321,12.409292
Oswald 600,600,sans-serif,-11.108055,12.612208
Oswald 700,700,sans-serif,-11.166577,12.873962
Source Sans Pro 200,200,sans-serif,-3.2448447,18.011208
Source Sans Pro 200italic,200italic,sans-serif,-3.520861,15.598259
Source Sans Pro 300,300,sans-serif,-4.0786085,18.07766
Source Sans Pro 300italic,300italic,sans-serif,-4.105817,15.044192
Source Sans Pro regular,regular,sans-serif,-7.043831,17.524027
Source Sans Pro italic,italic,sans-serif,-7.0828724,11.9521675
Source Sans Pro 600,600,sans-serif,-9.772206,15.249516
Source Sans Pro 600italic,600italic,sans-serif,-8.12452,10.698613
Source Sans Pro 700,700,sans-serif,-10.720235,14.137758
