name,variant,category,x,y
Roboto 100,100,sans-serif,-5.0666704,1.9331764
Roboto 100italic,100italic,sans-serif,4.0391483,7.67306
Roboto 300,300,sans-serif,-6.3171577,4.182766
Roboto 300italic,300italic,sans-serif,2.8860958,8.851569
Roboto regular,regular,sans-serif,-7.4588084,6.917116
Roboto italic,italic,sans-serif,1.9518642,10.366728
Roboto 500,500,sans-serif,-5.172012,9.599956
Roboto 500italic,500italic,sans-serif,1.3879703,11.611364
Roboto 700,700,sans-serif,-4.357586,10.714683
Roboto 700italic,700italic,sans-serif,0.58811176,12.012079
Roboto 900,900,sans-serif,-3.9534655,11.445328
Roboto 900italic,900italic,sans-serif,0.3566252,12.177654
Open Sans 300,300,sans-serif,-4.543737,3.723397
Open Sans 300italic,300italic,sans-serif,2.8256857,8.375688
Open Sans regular,regular,sans-serif,-5.35813,6.1082172
Open Sans italic,italic,sans-serif,2.4589238,10.270861
Open Sans 600,600,sans-serif,-5.2487335,8.07818
Open Sans 600italic,600italic,sans-serif,1.5620481,11.277393
Open Sans 700,700,sans-serif,-4.7222614,10.201937
Open Sans 700italic,700italic,sans-serif,1.1525574,11.786759
Open Sans 800,800,sans-serif,-5.014367,11.466743
Open Sans 800italic,800italic,sans-serif,1.0236534,12.562668
Lato 100,100,sans-serif,-4.7551684,1.4433806
Lato 100italic,100italic,sans-serif,3.998948,7.3452306
Lato 300,300,sans-serif,-4.330323,3.668974
Lato 300italic,300italic,sans-serif,2.7290225,8.411664
Lato regular,regular,sans-serif,-4.35159,7.2222395
Lato italic,italic,sans-serif,1.5009553,10.112074
Lato 700,700,sans-serif,-3.6821048,10.088754
Lato 700italic,700italic,sans-serif,0.69053555,11.305282
Lato 900,900,sans-serif,-3.7007744,10.97634
Lato 900italic,900italic,sans-serif,0.3999855,11.989202
Slabo 27px regular,regular,serif,0.45556468,-0.6493928
Roboto Condensed 300,300,sans-serif,-5.702236,5.3742785
Roboto Condensed 300italic,300italic,sans-serif,1.2715707,9.217642
Roboto Condensed regular,regular,sans-serif,-2.7636142,9.371358
Roboto Condensed italic,italic,sans-serif,0.039889496,11.004764
Roboto Condensed 700,700,sans-serif,-2.2840772,10.942383
Roboto Condensed 700italic,700italic,sans-serif,-0.35473377,11.733506
Oswald 200,200,sans-serif,-3.0776196,6.8633075
Oswald 300,300,sans-serif,-2.0915976,9.737112
Oswald regular,regular,sans-serif,-1.7133433,10.804787
Oswald 500,500,sans-serif,-1.7944907,11.115345
Oswald 600,600,sans-serif,-1.7868392,11.247327
Oswald 700,700,sans-serif,-2.1648624,11.409954
Source Sans Pro 200,200,sans-serif,-4.67046,2.2419405
Source Sans Pro 200italic,200italic,sans-serif,3.6991343,7.781461
Source Sans Pro 300,300,sans-serif,-4.4263773,3.6564002
Source Sans Pro 300italic,300italic,sans-serif,3.0759807,8.2146
Source Sans Pro regular,regular,sans-serif,-4.8567696,6.6632967
Source Sans Pro italic,italic,sans-serif,2.4600546,9.787241
Source Sans Pro 600,600,sans-serif,-4.100432,9.473974
Source Sans Pro 600italic,600italic,sans-serif,1.7158233,11.114473
Source Sans Pro 700,700,sans-serif,-3.758355,10.828434
Source Sans Pro 700italic,700italic,sans-serif,1.0904397,11.907119
Source Sans Pro 900,900,sans-serif,-4.1792817,11.584825
Source Sans Pro 900italic,900italic,sans-serif,1.061351,12.40833
Montserrat 100,100,sans-serif,-5.376737,1.90847
Montserrat 100italic,100italic,sans-serif,4.3697824,7.869227
Montserrat 200,200,sans-serif,-5.7434254,3.1682703
Montserrat 200italic,200italic,sans-serif,4.119798,8.659207
Montserrat 300,300,sans-serif,-5.4262114,4.3036585
Montserrat 300italic,300italic,sans-serif,4.010031,9.284086
Montserrat regular,regular,sans-serif,-6.137204,5.682066
Montserrat italic,italic,sans-serif,3.7378404,10.262294
Montserrat 500,500,sans-serif,-7.1673193,9.478638
Montserrat 500italic,500italic,sans-serif,3.646365,11.83098
Montserrat 600,600,sans-serif,-7.2268186,10.533612
Montserrat 600italic,600italic,sans-serif,3.6278765,12.3196745
Montserrat 700,700,sans-serif,-6.99984,11.066221
Montserrat 700italic,700italic,sans-serif,3.2593887,12.7334
Montserrat 800,800,sans-serif,-6.8116417,11.769274
Montserrat 800italic,800italic,sans-serif,2.8401668,13.0948925
Montserrat 900,900,sans-serif,-6.3494043,12.127329
Montserrat 900italic,900italic,sans-serif,2.5556264,13.171827
Raleway 100,100,sans-serif,-5.2031536,1.5113981
Raleway 100italic,100italic,sans-serif,4.249817,7.6397
Raleway 200,200,sans-serif,-5.531006,2.427801
Raleway 200italic,200italic,sans-serif,3.9600759,8.02478
Raleway 300,300,sans-serif,-5.8201985,3.7612863
Raleway 300italic,300italic,sans-serif,3.7507274,8.604528
Raleway regular,regular,sans-serif,-6.0206275,4.6743345
Raleway italic,italic,sans-serif,3.4243925,9.330618
Raleway 500,500,sans-serif,-6.5013003,5.4425254
Raleway 500italic,500italic,sans-serif,3.1981027,10.076421
Raleway 600,600,sans-serif,-6.8870134,7.0766973
Raleway 600italic,600italic,sans-serif,2.8933895,10.910469
Raleway 700,700,sans-serif,-6.9625316,9.243133
Raleway 700italic,700italic,sans-serif,2.8500884,11.669499
Raleway 800,800,sans-serif,-6.926432,10.414299
Raleway 800italic,800italic,sans-serif,2.4455755,12.43997
Raleway 900,900,sans-serif,-6.580655,11.218649
Raleway 900italic,900italic,sans-serif,2.6914754,12.848715
PT Sans regular,regular,sans-serif,-5.8704777,7.1106853
PT Sans italic,italic,sans-serif,1.6504668,9.731798
PT Sans 700,700,sans-serif,-4.1807847,10.517284
PT Sans 700italic,700italic,sans-serif,0.41646338,11.702306
Merriweather 300,300,serif,1.7436662,0.097019576
Merriweather 300italic,300italic,serif,1.4850292,3.6180527
Merriweather regular,regular,serif,-0.08631554,-0.85569966
Merriweather italic,italic,serif,1.4267296,4.2149577
Merriweather 700,700,serif,-2.8100724,-0.94378096
Merriweather 700italic,700italic,serif,1.3167609,4.4990783
Merriweather 900,900,serif,-3.4181464,-0.45583582
Merriweather 900italic,900italic,serif,1.3885505,4.852023
Roboto Slab 100,100,serif,2.8793817,0.8561721
Roboto Slab 300,300,serif,1.6369761,1.3920847
Roboto Slab regular,regular,serif,-0.4837912,-0.1946699
Roboto Slab 700,700,serif,-3.3463824,-0.5662757
Open Sans Condensed 300,300,sans-serif,-3.520606,6.3194494
Open Sans Condensed 300italic,300italic,sans-serif,0.33792472,8.445327
Open Sans Condensed 700,700,sans-serif,-2.2152574,10.853798
Lora regular,regular,serif,1.4130057,-0.73967475
Lora italic,italic,serif,0.9052189,3.7392535
Lora 700,700,serif,-2.7635238,-1.3010092
Lora 700italic,700italic,serif,1.174516,4.197908
Droid Sans regular,regular,sans-serif,-4.9979506,6.987234
Droid Sans 700,700,sans-serif,-4.210766,10.193783
Ubuntu 300,300,sans-serif,-6.663999,4.429897
Ubuntu 300italic,300italic,sans-serif,2.1171978,9.100509
Ubuntu regular,regular,sans-serif,-6.244118,7.7070136
Ubuntu italic,italic,sans-serif,1.567719,10.396911
Ubuntu 500,500,sans-serif,-5.077268,9.2178545
Ubuntu 500italic,500italic,sans-serif,1.3844001,11.353127
Ubuntu 700,700,sans-serif,-4.7388387,9.821766
Ubuntu 700italic,700italic,sans-serif,1.4096305,11.892106
Droid Serif regular,regular,serif,0.21364261,-0.27542996
Droid Serif italic,italic,serif,1.4360375,4.39509
Droid Serif 700,700,serif,-2.364981,-0.88630855
Droid Serif 700italic,700italic,serif,0.89784324,4.3714767
Playfair Display regular,regular,serif,1.1846315,-1.5773466
Playfair Display italic,italic,serif,3.123861,4.751693
Playfair Display 700,700,serif,-2.0425627,-2.2178285
Playfair Display 700italic,700italic,serif,2.5042782,5.136003
Playfair Display 900,900,serif,-2.1446676,-2.1550636
Playfair Display 900italic,900italic,serif,2.433047,5.140894
Noto Sans regular,regular,sans-serif,-7.1778016,6.154924
Noto Sans italic,italic,sans-serif,2.227688,10.068107
Noto Sans 700,700,sans-serif,-5.2414694,10.353981
Noto Sans 700italic,700italic,sans-serif,0.93413806,12.134055
PT Serif regular,regular,serif,0.886907,-1.5384983
PT Serif italic,italic,serif,1.9731971,4.011921
PT Serif 700,700,serif,-2.2011523,-1.2689192
PT Serif 700italic,700italic,serif,1.7676841,4.705029
Arimo regular,regular,sans-serif,-7.201425,6.714142
Arimo italic,italic,sans-serif,2.9490635,10.226384
Arimo 700,700,sans-serif,-5.8802843,9.674676
Arimo 700italic,700italic,sans-serif,3.2198122,11.898609
Titillium Web 200,200,sans-serif,-4.3553505,2.984258
Titillium Web 200italic,200italic,sans-serif,2.8275383,8.083576
Titillium Web 300,300,sans-serif,-4.7879586,5.540322
Titillium Web 300italic,300italic,sans-serif,2.1778576,9.447771
Titillium Web regular,regular,sans-serif,-5.231009,6.2011147
Titillium Web italic,italic,sans-serif,1.8179076,10.000466
Titillium Web 600,600,sans-serif,-3.8430464,9.680329
