name,variant,category,x,y
Open Sans Condensed 700,700,sans-serif,7.838447,13.121002
Lora regular,regular,serif,6.339723,17.372654
Lora italic,italic,serif,-8.0617895,18.991844
Lora 700,700,serif,-11.244728,11.660977
Lora 700italic,700italic,serif,1.0395325,24.926657
Droid Sans regular,regular,sans-serif,-6.002519,-1.6670346
Droid Sans 700,700,sans-serif,-5.7475758,-7.6645627
Ubuntu 300,300,sans-serif,9.756232,4.9502134
Ubuntu 300italic,300italic,sans-serif,2.8771808,-4.4354024
Ubuntu regular,regular,sans-serif,-7.2172823,-0.49069083
Ubuntu italic,italic,sans-serif,16.249819,12.53152
Ubuntu 500,500,sans-serif,3.9021602,17.843367
Ubuntu 500italic,500italic,sans-serif,16.257254,12.5454235
Ubuntu 700,700,sans-serif,3.7600899,17.79457
Ubuntu 700italic,700italic,sans-serif,16.350634,12.497441
Droid Serif regular,regular,serif,16.801533,-8.160632
Droid Serif italic,italic,serif,-3.988281,15.180302
Droid Serif 700,700,serif,0.32859826,-5.0737925
Droid Serif 700italic,700italic,serif,11.151531,23.43896
Playfair Display regular,regular,serif,19.019333,2.0084279
Playfair Display italic,italic,serif,9.525555,19.673637
Playfair Display 700,700,serif,17.68862,13.492023
Playfair Display 700italic,700italic,serif,3.94505,-15.398255
Playfair Display 900,900,serif,17.440378,13.322889
Playfair Display 900italic,900italic,serif,3.9709864,-15.439617
Noto Sans regular,regular,sans-serif,4.460468,-7.463531
Noto Sans italic,italic,sans-serif,11.620734,-9.508197
Noto Sans 700,700,sans-serif,12.53389,-0.34595758
Noto Sans 700italic,700italic,sans-serif,8.370448,17.181131
PT Serif regular,regular,serif,8.5284815,1.2000022
PT Serif italic,italic,serif,6.6496115,-9.269568
PT Serif 700,700,serif,-13.570506,-5.2969337
PT Serif 700italic,700italic,serif,6.1671624,20.482584
Arimo regular,regular,sans-serif,14.267134,13.56728
Arimo italic,italic,sans-serif,0.7151399,12.959435
Arimo 700,700,sans-serif,14.345319,-1.3561026
Arimo 700italic,700italic,sans-serif,8.954631,9.516285
Titillium Web 200,200,sans-serif,-12.786401,5.0491395
Titillium Web 200italic,200italic,sans-serif,-4.764116,-9.824413
Titillium Web 300,300,sans-serif,5.9332623,25.055944
Titillium Web 300italic,300italic,sans-serif,-0.98405224,3.5147266
Titillium Web regular,regular,sans-serif,6.959734,10.823743
Titillium Web italic,italic,sans-serif,-0.7812747,3.4608335
Titillium Web 600,600,sans-serif,-14.513817,5.036216
Titillium Web 600italic,600italic,sans-serif,3.6763096,3.7648814
Titillium Web 700,700,sans-serif,-14.734201,5.2324996
Titillium Web 700italic,700italic,sans-serif,3.6067042,3.7831283
Titillium Web 900,900,sans-serif,4.804535,9.350038
PT Sans Narrow regular,regular,sans-serif,-14.233163,8.985934
PT Sans Narrow 700,700,sans-serif,9.280866,-6.9555373
Muli 200,200,sans-serif,-3.3812048,-6.6321435
Muli 200italic,200italic,sans-serif,-5.575271,6.4797997
Muli 300,300,sans-serif,4.3569837,14.997218
Muli 300italic,300italic,sans-serif,-5.7904463,-6.265933
Muli regular,regular,sans-serif,14.874557,18.902977
Muli italic,italic,sans-serif,-7.7564654,14.632845
Muli 600,600,sans-serif,16.948029,7.5320797
Muli 600italic,600italic,sans-serif,6.977382,20.089571
Muli 700,700,sans-serif,14.530717,-0.9779403
Muli 700italic,700italic,sans-serif,10.048347,-0.3775584
Muli 800,800,sans-serif,7.4471316,19.40447
Muli 800italic,800italic,sans-serif,10.433889,-0.15917715
Muli 900,900,sans-serif,12.711664,2.8849337
Muli 900italic,900italic,sans-serif,-12.904224,10.399417
Poppins 300,300,sans-serif,14.934482,19.041159
Poppins regular,regular,sans-serif,14.303401,10.470346
Poppins 500,500,sans-serif,14.446601,10.696591
Poppins 600,600,sans-serif,16.843624,5.022674
Poppins 700,700,sans-serif,16.70548,4.8285627
Indie Flower regular,regular,handwriting,2.9094362,4.9355273
Bitter regular,regular,serif,5.428604,4.6317835
Bitter italic,italic,serif,6.144485,-8.880936
Bitter 700,700,serif,20.085718,-0.70895135
Dosis 200,200,sans-serif,0.5148005,1.3139943
Dosis 300,300,sans-serif,0.8690089,1.3711208
Dosis regular,regular,sans-serif,1.2393767,1.1232169
Dosis 500,500,sans-serif,1.4974222,0.89825547
Dosis 600,600,sans-serif,1.8797066,0.77093834
Dosis 700,700,sans-serif,1.727999,0.31149453
Dosis 800,800,sans-serif,1.8574461,0.068859704
Inconsolata regular,regular,monospace,20.369549,-2.966172
Inconsolata 700,700,monospace,5.489721,-5.075225
Fjalla One regular,regular,sans-serif,18.948208,12.18292
Hind 300,300,sans-serif,19.432386,-5.0569625
Hind regular,regular,sans-serif,2.8798542,23.990126
Hind 500,500,sans-serif,-10.924208,-4.009023
Hind 600,600,sans-serif,-2.3229454,-8.716718
Hind 700,700,sans-serif,7.991768,27.831099
Oxygen 300,300,sans-serif,19.357182,-4.9647717
Oxygen regular,regular,sans-serif,3.377513,24.322084
Oxygen 700,700,sans-serif,12.763701,0.7792159
Anton regular,regular,sans-serif,-6.402425,11.342766
Noto Serif regular,regular,serif,17.005915,-7.9937267
Noto Serif italic,italic,serif,-3.934807,15.184325
Noto Serif 700,700,serif,0.27965215,-4.908698
Noto Serif 700italic,700italic,serif,11.092975,23.522736
Cabin regular,regular,sans-serif,2.106478,-6.6842766
Cabin italic,italic,sans-serif,5.4221435,-12.687351
Cabin 500,500,sans-serif,2.0731428,-6.813909
Cabin 500italic,500italic,sans-serif,5.4326887,-12.816678
Cabin 600,600,sans-serif,1.9867129,-6.7517395
Cabin 600italic,600italic,sans-serif,5.079747,-12.713372
Cabin 700,700,sans-serif,1.9824651,-6.46644
Cabin 700italic,700italic,sans-serif,4.9863267,-12.555477
Arvo regular,regular,serif,15.246658,-8.225245
Arvo italic,italic,serif,0.97636133,12.3120985
Arvo 700,700,serif,-1.0476869,17.275871
Arvo 700italic,700italic,serif,5.515715,-9.160552
Libre Baskerville regular,regular,serif,-9.892374,-1.0867025
Libre Baskerville italic,italic,serif,9.5404,19.66399
Libre Baskerville 700,700,serif,-10.2410555,9.523954
Nunito 200,200,sans-serif,7.5989866,-1.1268581
Nunito 200italic,200italic,sans-serif,-5.52392,6.7784038
Nunito 300,300,sans-serif,4.276219,14.378455
Nunito 300italic,300italic,sans-serif,-5.809438,-6.142594
Nunito regular,regular,sans-serif,11.850992,10.761503
Nunito italic,italic,sans-serif,9.484991,14.820039
Nunito 600,600,sans-serif,11.415683,10.422307
Nunito 600italic,600italic,sans-serif,9.465803,15.074638
Nunito 700,700,sans-serif,-2.2634096,-11.077179
Nunito 700italic,700italic,sans-serif,-1.1005114,-10.70252
Nunito 800,800,sans-serif,-2.0495315,-11.066417
Nunito 800italic,800italic,sans-serif,-1.2664081,-10.893925
Nunito 900,900,sans-serif,-1.898179,-11.017712
Nunito 900italic,900italic,sans-serif,-1.4386543,-10.943254
Lobster regular,regular,display,13.573195,4.0735726
Crimson Text regular,regular,serif,-5.9985976,8.315566
Crimson Text italic,italic,serif,-1.1811559,11.06065
Crimson Text 600,600,serif,2.6013813,6.1031194
Crimson Text 600italic,600italic,serif,9.396919,19.515928
Crimson Text 700,700,serif,9.577127,-1.9904625
Crimson Text 700italic,700italic,serif,9.110592,19.330423
Yanone Kaffeesatz 200,200,sans-serif,0.2756523,1.3223939
Yanone Kaffeesatz 300,300,sans-serif,6.903973,0.62376213
Yanone Kaffeesatz regular,regular,sans-serif,2.3339021,9.370719
Yanone Kaffeesatz 700,700,sans-serif,2.6400328,9.520504
Roboto Mono 100,100,monospace,-6.4294796,12.855336
Roboto Mono 100italic,100italic,monospace,-6.541556,12.651002
Roboto Mono 300,300,monospace,-9.538926,6.0722775
Roboto Mono 300italic,300italic,monospace,-1.7296057,16.301647
Roboto Mono regular,regular,monospace,20.531939,-3.242187
Roboto Mono italic,italic,monospace,0.66723603,-7.882954
Roboto Mono 500,500,monospace,-7.2523217,-3.4042468
Roboto Mono 500italic,500italic,monospace,1.8347281,7.693708
Roboto Mono 700,700,monospace,5.625746,-4.9958673
Roboto Mono 700italic,700italic,monospace,1.6292661,7.48524
Josefin Sans 100,100,sans-serif,7.313655,-0.9143761
Josefin Sans 100italic,100italic,sans-serif,6.041133,1.2026956
Josefin Sans 300,300,sans-serif,7.383269,-1.02443
Josefin Sans 300italic,300italic,sans-serif,-5.485697,6.605399
Josefin Sans regular,regular,sans-serif,4.3046107,14.579305
Josefin Sans italic,italic,sans-serif,-5.43671,6.8690166
Josefin Sans 600,600,sans-serif,-4.049366,20.23989
Josefin Sans 600italic,600italic,sans-serif,-8.182107,6.8782315
Josefin Sans 700,700,sans-serif,-3.6852696,19.934654
Josefin Sans 700italic,700italic,sans-serif,-8.262916,6.8310394
Bree Serif regular,regular,serif,6.5657444,13.811151
Catamaran 100,100,sans-serif,18.540632,9.982053
Catamaran 200,200,sans-serif,17.970503,10.174427
Catamaran 300,300,sans-serif,17.85312,10.323823
Catamaran regular,regular,sans-serif,11.376455,-2.7496054
Catamaran 500,500,sans-serif,11.797121,-3.0465608
Catamaran 600,600,sans-serif,14.258921,5.661333
Catamaran 700,700,sans-serif,14.435547,5.7249746
Catamaran 800,800,sans-serif,12.4863405,-0.19099198
Catamaran 900,900,sans-serif,1.2302732,8.519384
Merriweather Sans 300,300,sans-serif,-5.0888915,-0.5792166
Merriweather Sans 300italic,300italic,sans-serif,2.7729955,-4.2296767
Merriweather Sans regular,regular,sans-serif,17.759373,0.07866615
Merriweather Sans italic,italic,sans-serif,12.012168,-8.605372
Merriweather Sans 700,700,sans-serif,-3.8754895,17.531675
Merriweather Sans 700italic,700italic,sans-serif,-9.85365,-4.4965525
Merriweather Sans 800,800,sans-serif,-3.0267947,17.010065
Merriweather Sans 800italic,800italic,sans-serif,-9.801876,-4.514709
Fira Sans 100,100,sans-serif,22.942036,12.471118
Fira Sans 100italic,100italic,sans-serif,20.884142,17.2896
Fira Sans 200,200,sans-serif,7.098508,6.97076
Fira Sans 200italic,200italic,sans-serif,-3.7477112,-9.962207
Fira Sans 300,300,sans-serif,7.3303165,7.0048494
Fira Sans 300italic,300italic,sans-serif,-3.7738483,-10.089281
Fira Sans regular,regular,sans-serif,-6.034098,-1.8259718
Fira Sans italic,italic,sans-serif,12.085101,-9.081526
Fira Sans 500,500,sans-serif,10.826506,-12.974884
Fira Sans 500italic,500italic,sans-serif,8.327847,18.090292
Fira Sans 600,600,sans-serif,11.119583,-12.71515
Fira Sans 600italic,600italic,sans-serif,8.31385,17.80679
Fira Sans 700,700,sans-serif,10.982803,-12.725107
Fira Sans 700italic,700italic,sans-serif,8.107816,17.988266
Fira Sans 800,800,sans-serif,18.039734,-10.567698
Fira Sans 800italic,800italic,sans-serif,-0.59412867,17.534739
Fira Sans 900,900,sans-serif,18.263544,-10.786005
Fira Sans 900italic,900italic,sans-serif,-0.39745185,17.327473
Abril Fatface regular,regular,display,17.117884,13.051691
Exo 2 100,100,sans-serif,-2.937333,8.876744
Exo 2 100italic,100italic,sans-serif,0.39529166,2.7486258
Exo 2 200,200,sans-serif,13.245206,-7.5980806
Exo 2 200italic,200italic,sans-serif,0.3972264,-1.1283368
Exo 2 300,300,sans-serif,-3.5069575,13.069623
Exo 2 300italic,300italic,sans-serif,17.656704,6.6879597
Exo 2 regular,regular,sans-serif,-0.42284825,11.743258
Exo 2 italic,italic,sans-serif,17.706059,6.7511673
Exo 2 500,500,sans-serif,-0.47873512,11.95688
Exo 2 500italic,500italic,sans-serif,17.820196,6.605518
Exo 2 600,600,sans-serif,12.59269,-12.200476
Exo 2 600italic,600italic,sans-serif,-15.574359,11.565641
Exo 2 700,700,sans-serif,12.693235,-12.20317
Exo 2 700italic,700italic,sans-serif,-15.64514,11.618848
Exo 2 800,800,sans-serif,8.268088,-5.205143
Exo 2 800italic,800italic,sans-serif,-15.601651,11.568872
Exo 2 900,900,sans-serif,8.428337,-5.4170675
Exo 2 900italic,900italic,sans-serif,-15.427827,11.397932
Asap regular,regular,sans-serif,5.726096,5.5870447
Asap italic,italic,sans-serif,12.461545,-9.132047
Asap 500,500,sans-serif,13.469662,4.4936557
Asap 500italic,500italic,sans-serif,-2.3578584,-3.077451
Asap 700,700,sans-serif,13.427304,4.679701
Asap 700italic,700italic,sans-serif,-2.2501833,-3.1991658
Varela Round regular,regular,sans-serif,12.191112,10.387356
Abel regular,regular,sans-serif,-6.2307987,-1.8483957
Quicksand 300,300,sans-serif,-3.3107958,-6.719474
Quicksand regular,regular,sans-serif,4.136151,15.477918
Quicksand 500,500,sans-serif,12.548969,10.347672
Quicksand 700,700,sans-serif,-2.2419658,-10.831408
Gloria Hallelujah regular,regular,handwriting,6.8334384,-11.982971
