name,variant,category,x,y
Roboto 100,100,sans-serif,-2.4250038,16.238823
Roboto 100italic,100italic,sans-serif,-0.76989365,13.199809
Roboto 300,300,sans-serif,-4.7054443,13.927587
Roboto 300italic,300italic,sans-serif,0.15477896,11.399405
Roboto regular,regular,sans-serif,-8.239788,12.323893
Roboto italic,italic,sans-serif,2.0046554,10.742821
Roboto 500,500,sans-serif,-7.354401,8.31199
Roboto 500italic,500italic,sans-serif,3.7946298,10.461177
Roboto 700,700,sans-serif,-6.7557607,7.278022
Roboto 700italic,700italic,sans-serif,4.7500024,10.222148
Roboto 900,900,sans-serif,-6.2615113,6.28927
Roboto 900italic,900italic,sans-serif,5.194979,10.05906
Open Sans 300,300,sans-serif,-3.5310814,14.323043
Open Sans 300italic,300italic,sans-serif,-0.41038305,11.337059
Open Sans regular,regular,sans-serif,-5.5864496,12.314586
Open Sans italic,italic,sans-serif,1.7276154,11.340178
Open Sans 600,600,sans-serif,-6.829722,10.000732
Open Sans 600italic,600italic,sans-serif,3.3388865,10.71599
Open Sans 700,700,sans-serif,-7.1471667,7.850246
Open Sans 700italic,700italic,sans-serif,4.299547,10.593201
Open Sans 800,800,sans-serif,-7.559578,6.079392
Open Sans 800italic,800italic,sans-serif,5.2239685,11.033931
Lato 100,100,sans-serif,-1.5557332,15.607644
Lato 100italic,100italic,sans-serif,-1.007176,14.043037
Lato 300,300,sans-serif,-3.5680342,14.627158
Lato 300italic,300italic,sans-serif,-0.5594556,11.679459
Lato regular,regular,sans-serif,-5.459251,10.652816
Lato italic,italic,sans-serif,2.180614,10.252964
Lato 700,700,sans-serif,-5.8223577,7.706646
Lato 700italic,700italic,sans-serif,3.9193108,9.843333
Lato 900,900,sans-serif,-5.876916,6.46464
Lato 900italic,900italic,sans-serif,5.0260296,9.954371
Slabo 27px regular,regular,serif,-1.3932347,-0.67205924
Roboto Condensed 300,300,sans-serif,-4.8896203,12.908688
Roboto Condensed 300italic,300italic,sans-serif,0.8058485,9.922991
Roboto Condensed regular,regular,sans-serif,-4.44094,8.416727
Roboto Condensed italic,italic,sans-serif,3.826704,8.935054
Roboto Condensed 700,700,sans-serif,-4.293912,6.5037675
Roboto Condensed 700italic,700italic,sans-serif,4.9566674,9.005278
Oswald 200,200,sans-serif,-3.0998948,10.894837
Oswald 300,300,sans-serif,-3.8125012,7.7024803
Oswald regular,regular,sans-serif,-3.5789835,6.598375
Oswald 500,500,sans-serif,-3.7452874,6.1747966
Oswald 600,600,sans-serif,-3.6430445,6.244852
Oswald 700,700,sans-serif,-4.4194627,5.8788247
Source Sans Pro 200,200,sans-serif,-2.6913168,15.615768
Source Sans Pro 200italic,200italic,sans-serif,-0.4158803,12.922423
Source Sans Pro 300,300,sans-serif,-3.455704,14.285707
Source Sans Pro 300italic,300italic,sans-serif,-0.39526877,11.795486
Source Sans Pro regular,regular,sans-serif,-5.4567337,11.213899
Source Sans Pro italic,italic,sans-serif,1.2082844,11.164119
Source Sans Pro 600,600,sans-serif,-5.926343,8.394062
Source Sans Pro 600italic,600italic,sans-serif,3.065821,10.912912
Source Sans Pro 700,700,sans-serif,-5.9461255,6.9224954
Source Sans Pro 700italic,700italic,sans-serif,4.3645496,11.088385
