name,variant,category,x,y,cluster
Merriweather 700italic,700italic,serif,-0.08076331,4.078401,2
Merriweather 900,900,serif,-4.6230173,0.35326552,3
Merriweather 900italic,900italic,serif,-0.110622615,4.0839834,2
Roboto Slab 100,100,serif,-1.4084169,-0.82932514,0
Roboto Slab 300,300,serif,-1.6600996,-0.22888543,0
Roboto Slab regular,regular,serif,-3.224189,-0.0022105263,3
Roboto Slab 700,700,serif,-4.6020756,0.44174656,3
Open Sans Condensed 300,300,sans-serif,-1.81924,9.991515,0
Open Sans Condensed 300italic,300italic,sans-serif,0.40989816,8.347568,4
Open Sans Condensed 700,700,sans-serif,-2.9304645,7.0881257,1
Lora regular,regular,serif,-2.442173,-0.8432307,3
Lora italic,italic,serif,-0.2651684,3.6180818,2
Lora 700,700,serif,-4.5126534,0.14482552,3
Lora 700italic,700italic,serif,-0.22812377,3.964592,2
Droid Sans regular,regular,sans-serif,-2.997059,9.5379505,0
Droid Sans 700,700,sans-serif,-3.6576173,8.104385,1
Ubuntu 300,300,sans-serif,-2.3251352,11.1442175,0
Ubuntu 300italic,300italic,sans-serif,2.1834083,9.626251,2
Ubuntu regular,regular,sans-serif,-4.118729,9.913567,1
Ubuntu italic,italic,sans-serif,3.1111405,9.523401,2
Ubuntu 500,500,sans-serif,-4.463819,8.415318,1
Ubuntu 500italic,500italic,sans-serif,3.5301592,9.565968,2
Ubuntu 700,700,sans-serif,-4.395239,8.139621,1
Ubuntu 700italic,700italic,sans-serif,3.6825147,9.510992,2
Droid Serif regular,regular,serif,-2.8941586,-0.2310179,3
Droid Serif italic,italic,serif,-0.24665353,3.755263,2
Droid Serif 700,700,serif,-4.287773,0.13018316,3
Droid Serif 700italic,700italic,serif,-0.44002575,3.8920429,2
Playfair Display regular,regular,serif,-2.7822285,-1.0955435,3
Playfair Display italic,italic,serif,0.4834883,3.4584932,2
Playfair Display 700,700,serif,-4.5075607,-0.3395166,3
Playfair Display 700italic,700italic,serif,0.4660493,3.6160326,2
Playfair Display 900,900,serif,-4.523438,-0.30763537,3
Playfair Display 900italic,900italic,serif,0.5083794,3.6100261,2
Noto Sans regular,regular,sans-serif,-3.540804,10.638995,0
Noto Sans italic,italic,sans-serif,2.5885026,9.446386,2
Noto Sans 700,700,sans-serif,-4.4691052,7.9564943,1
Noto Sans 700italic,700italic,sans-serif,3.682123,9.616264,2
PT Serif regular,regular,serif,-2.879068,-0.98641783,3
PT Serif italic,italic,serif,-0.03145027,3.8229017,2
PT Serif 700,700,serif,-4.2697973,-0.0341897,3
PT Serif 700italic,700italic,serif,-0.0044441195,4.0350714,2
Arimo regular,regular,sans-serif,-3.7174819,10.564661,0
Arimo italic,italic,sans-serif,2.1969314,9.143436,2
Arimo 700,700,sans-serif,-4.7501836,8.0189,1
Arimo 700italic,700italic,sans-serif,3.1340737,8.520311,2
Titillium Web 200,200,sans-serif,-0.99035686,11.590747,0
Titillium Web 200italic,200italic,sans-serif,1.5492376,10.088022,0
Titillium Web 300,300,sans-serif,-2.5511315,9.992028,0
Titillium Web 300italic,300italic,sans-serif,2.4712641,9.73076,2
Titillium Web regular,regular,sans-serif,-2.8441374,9.835769,0
Titillium Web italic,italic,sans-serif,2.7169924,9.735862,2
Titillium Web 600,600,sans-serif,-3.573752,8.043405,1
Titillium Web 600italic,600italic,sans-serif,3.5063996,9.714495,2
Titillium Web 700,700,sans-serif,-3.5855455,7.731884,1
