name,variant,category,x,y
Roboto 100,100,sans-serif,3.2085268,14.561019
Roboto 100italic,100italic,sans-serif,2.3161263,12.846805
Roboto 300,300,sans-serif,1.65864,15.036858
Roboto 300italic,300italic,sans-serif,0.50841933,11.968775
Roboto regular,regular,sans-serif,-1.6226829,15.885132
Roboto italic,italic,sans-serif,-3.2145529,9.098021
Roboto 500,500,sans-serif,-3.8136091,14.389815
Roboto 500italic,500italic,sans-serif,-4.329851,8.881389
Roboto 700,700,sans-serif,-4.9348164,13.428282
Roboto 700italic,700italic,sans-serif,-5.044955,8.503857
Roboto 900,900,sans-serif,-5.7544446,12.920344
Roboto 900italic,900italic,sans-serif,-5.520092,8.502901
Open Sans 300,300,sans-serif,2.086345,14.9266615
Open Sans 300italic,300italic,sans-serif,1.204838,12.195027
Open Sans regular,regular,sans-serif,-0.2916818,15.468983
Open Sans italic,italic,sans-serif,-2.6328745,9.586026
Open Sans 600,600,sans-serif,-2.563039,15.069745
Open Sans 600italic,600italic,sans-serif,-3.869547,8.7582445
Open Sans 700,700,sans-serif,-4.6772194,13.93607
Open Sans 700italic,700italic,sans-serif,-4.718459,8.208683
Open Sans 800,800,sans-serif,-5.790615,13.8496895
Open Sans 800italic,800italic,sans-serif,-5.351275,8.444861
Lato 100,100,sans-serif,3.403659,13.970844
Lato 100italic,100italic,sans-serif,2.632075,13.440339
Lato 300,300,sans-serif,2.490181,15.555589
Lato 300italic,300italic,sans-serif,1.2502098,12.288958
Lato regular,regular,sans-serif,-1.9485198,15.74334
Lato italic,italic,sans-serif,-2.9375231,8.437997
Lato 700,700,sans-serif,-4.3056397,13.473792
Lato 700italic,700italic,sans-serif,-4.1902623,7.8524804
Lato 900,900,sans-serif,-5.479465,12.831128
Lato 900italic,900italic,sans-serif,-5.125223,7.9704046
Slabo 27px regular,regular,serif,5.179942,9.25075
Roboto Condensed 300,300,sans-serif,0.26781058,15.662497
Roboto Condensed 300italic,300italic,sans-serif,-2.5506184,9.68683
Roboto Condensed regular,regular,sans-serif,-4.1786704,12.28997
Roboto Condensed italic,italic,sans-serif,-4.7155757,8.214677
Roboto Condensed 700,700,sans-serif,-5.6117163,11.688355
Roboto Condensed 700italic,700italic,sans-serif,-5.805704,8.49422
Oswald 200,200,sans-serif,-0.41354302,13.892098
Oswald 300,300,sans-serif,-4.245655,11.721802
Oswald regular,regular,sans-serif,-5.5508394,11.202256
Oswald 500,500,sans-serif,-5.561319,11.176001
Oswald 600,600,sans-serif,-5.847095,11.628485
Oswald 700,700,sans-serif,-5.713916,11.630291
Source Sans Pro 200,200,sans-serif,3.1233904,14.628307
Source Sans Pro 200italic,200italic,sans-serif,2.0672655,12.504146
Source Sans Pro 300,300,sans-serif,2.2453845,15.188332
Source Sans Pro 300italic,300italic,sans-serif,1.3137416,12.106586
Source Sans Pro regular,regular,sans-serif,-1.1866841,15.493884
Source Sans Pro italic,italic,sans-serif,-2.0296116,9.463623
Source Sans Pro 600,600,sans-serif,-3.6911104,13.766345
Source Sans Pro 600italic,600italic,sans-serif,-3.7494967,8.542103
Source Sans Pro 700,700,sans-serif,-5.225594,12.9854555
Source Sans Pro 700italic,700italic,sans-serif,-4.5849257,8.345269
Source Sans Pro 900,900,sans-serif,-5.9316354,13.246442
Source Sans Pro 900italic,900italic,sans-serif,-5.1846914,8.24844
Montserrat 100,100,sans-serif,2.9165802,13.968741
Montserrat 100italic,100italic,sans-serif,2.2504678,13.376065
Montserrat 200,200,sans-serif,2.3969748,14.244195
Montserrat 200italic,200italic,sans-serif,1.3968304,13.087068
Montserrat 300,300,sans-serif,1.0486393,14.286042
Montserrat 300italic,300italic,sans-serif,0.56026345,12.546476
Montserrat regular,regular,sans-serif,-0.0018669956,14.60324
Montserrat italic,italic,sans-serif,-1.6349715,11.198695
Montserrat 500,500,sans-serif,-3.848828,15.499398
Montserrat 500italic,500italic,sans-serif,-4.0715036,9.975577
Montserrat 600,600,sans-serif,-5.2417183,15.230593
Montserrat 600italic,600italic,sans-serif,-4.678282,9.75757
Montserrat 700,700,sans-serif,-5.719188,15.171232
Montserrat 700italic,700italic,sans-serif,-5.2025723,9.576094
Montserrat 800,800,sans-serif,-6.476311,14.902127
Montserrat 800italic,800italic,sans-serif,-5.207023,9.36457
Montserrat 900,900,sans-serif,-6.6076527,14.648854
Montserrat 900italic,900italic,sans-serif,-5.2418137,9.044422
Raleway 100,100,sans-serif,3.4381154,13.942669
Raleway 100italic,100italic,sans-serif,2.4164054,12.829383
Raleway 200,200,sans-serif,2.8890169,14.170112
Raleway 200italic,200italic,sans-serif,1.8534112,12.426184
Raleway 300,300,sans-serif,1.8869325,14.271854
Raleway 300italic,300italic,sans-serif,1.1522782,12.1860285
Raleway regular,regular,sans-serif,1.3191795,14.414059
Raleway italic,italic,sans-serif,0.15718058,11.841498
Raleway 500,500,sans-serif,0.322873,14.490373
Raleway 500italic,500italic,sans-serif,-2.0502863,10.466027
Raleway 600,600,sans-serif,-1.1772791,14.751335
Raleway 600italic,600italic,sans-serif,-3.2553623,9.73069
Raleway 700,700,sans-serif,-3.9444854,15.374755
Raleway 700italic,700italic,sans-serif,-4.2595625,9.240938
Raleway 800,800,sans-serif,-5.2539024,14.952867
Raleway 800italic,800italic,sans-serif,-4.78457,8.942381
Raleway 900,900,sans-serif,-6.1345673,14.368761
Raleway 900italic,900italic,sans-serif,-5.4694896,9.094805
PT Sans regular,regular,sans-serif,-1.9584655,16.006548
PT Sans italic,italic,sans-serif,-2.660444,8.807676
PT Sans 700,700,sans-serif,-4.6890473,13.08069
PT Sans 700italic,700italic,sans-serif,-4.820791,7.898401
