name,variant,category,x,y
Open Sans Condensed 300italic,300italic,sans-serif,-3.084014,16.213778
Open Sans Condensed 700,700,sans-serif,-6.578433,19.171818
Lora regular,regular,serif,-0.3101281,10.969251
Lora italic,italic,serif,-4.4827523,13.690716
Lora 700,700,serif,-3.570606,9.5035925
Lora 700italic,700italic,serif,-5.435493,14.160797
Droid Sans regular,regular,sans-serif,-0.97991604,19.13933
Droid Sans 700,700,sans-serif,-4.871291,19.90837
Ubuntu 300,300,sans-serif,0.81681836,17.443792
Ubuntu 300italic,300italic,sans-serif,-4.1286106,15.468861
Ubuntu regular,regular,sans-serif,-1.8867667,18.976696
Ubuntu italic,italic,sans-serif,-6.208376,15.814113
Ubuntu 500,500,sans-serif,-3.8103561,19.440252
Ubuntu 500italic,500italic,sans-serif,-6.841828,16.027584
Ubuntu 700,700,sans-serif,-4.2029796,19.561272
Ubuntu 700italic,700italic,sans-serif,-7.6151357,16.016062
Droid Serif regular,regular,serif,-1.5922976,10.965168
Droid Serif italic,italic,serif,-5.544791,14.114983
Droid Serif 700,700,serif,-3.624793,10.322999
Droid Serif 700italic,700italic,serif,-5.5690036,14.539539
Playfair Display regular,regular,serif,-0.6629857,10.21469
Playfair Display italic,italic,serif,-6.0949693,13.557183
Playfair Display 700,700,serif,-3.0577557,9.284067
Playfair Display 700italic,700italic,serif,-6.0774856,14.512853
Playfair Display 900,900,serif,-3.6369283,9.239198
Playfair Display 900italic,900italic,serif,-6.239656,15.107919
Noto Sans regular,regular,sans-serif,-0.05475562,19.007969
Noto Sans italic,italic,sans-serif,-5.857962,16.22627
Noto Sans 700,700,sans-serif,-4.0826764,20.607126
Noto Sans 700italic,700italic,sans-serif,-7.780979,16.693071
PT Serif regular,regular,serif,-0.8125168,10.268897
PT Serif italic,italic,serif,-6.321797,14.042833
PT Serif 700,700,serif,-3.5789986,9.765479
PT Serif 700italic,700italic,serif,-6.825221,14.708373
Arimo regular,regular,sans-serif,-0.8388981,18.540474
Arimo italic,italic,sans-serif,-4.9831915,16.280493
Arimo 700,700,sans-serif,-3.6236985,20.378714
Arimo 700italic,700italic,sans-serif,-7.4260316,15.639334
Titillium Web 200,200,sans-serif,1.6972903,16.283594
Titillium Web 200italic,200italic,sans-serif,-1.0252329,14.913177
Titillium Web 300,300,sans-serif,0.5148919,17.970766
Titillium Web 300italic,300italic,sans-serif,-4.930223,15.995189
Titillium Web regular,regular,sans-serif,-0.39407358,18.70011
Titillium Web italic,italic,sans-serif,-5.8438635,15.803861
Titillium Web 600,600,sans-serif,-4.3337655,19.339603
Titillium Web 600italic,600italic,sans-serif,-7.3203,16.743053
Titillium Web 700,700,sans-serif,-5.009362,19.428806
